instance	family	max_arity	rc
rus2_100_200_3_1	DBN	NA	5
rus_20_40_2_2	DBN	NA	5
rus2_20_40_9_1	DBN	NA	5
rus2_20_40_1_2	DBN	NA	5
rus2_50_100_7_1	DBN	NA	5
7_12_s.binary	Segmentation	2	6
9_24_s.binary	Segmentation	2	6
12_15_s.binary	Segmentation	2	6
16_16_s.binary	Segmentation	2	6
12_20_s.binary	Segmentation	2	6
11_4_s.binary	Segmentation	2	6
15_3_s.binary	Segmentation	2	6
8_8_s.binary	Segmentation	2	6
19_25_s.binary	Segmentation	2	6
19_20_s.binary	Segmentation	2	6
9_10_s.binary	Segmentation	2	6
8_25_s.binary	Segmentation	2	6
13_14_s.binary	Segmentation	2	6
13_30_s.binary	Segmentation	2	6
20_9_s.binary	Segmentation	2	6
18_30_s.binary	Segmentation	2	6
4_24_s.binary	Segmentation	2	6
5_3_s.binary	Segmentation	2	6
20_5_s.binary	Segmentation	2	6
3_16_s.binary	Segmentation	2	6
10_14_s.binary	Segmentation	2	6
1_28_s.binary	Segmentation	2	6
13_9_s.binary	Segmentation	2	6
19_12_s.binary	Segmentation	2	6
11_3_s.binary	Segmentation	2	6
19_4_s.binary	Segmentation	2	6
12_4_s.binary	Segmentation	2	6
6_3_s.binary	Segmentation	2	6
7_9_s.binary	Segmentation	2	6
10_16_s.binary	Segmentation	2	6
18_1_s.binary	Segmentation	2	6
6_23_s.binary	Segmentation	2	6
8_18_s.binary	Segmentation	2	6
18_10_s.binary	Segmentation	2	6
18_21_s.binary	Segmentation	2	6
18_11_s.binary	Segmentation	2	6
16_18_s.binary	Segmentation	2	6
4_30_s.binary	Segmentation	2	6
3_20_s.binary	Segmentation	2	6
2_28_s.binary	Segmentation	2	6
14_26_s.binary	Segmentation	2	6
14_30_s.binary	Segmentation	2	6
7_15_s.binary	Segmentation	2	6
17_4_s.binary	Segmentation	2	6
2_2_s.binary	Segmentation	2	6
20_12_s.binary	Segmentation	2	6
2_17_s.binary	Segmentation	2	6
11_17_s.binary	Segmentation	2	6
7_29_s.binary	Segmentation	2	6
7_11_s.binary	Segmentation	2	6
cat_sched_60_80_0004	Auction	2	6
cat_sched_60_200_0002	Auction	2	6
cat_sched_60_190_0002	Auction	2	6
cat_paths_60_160_0000	Auction	2	6
cat_sched_60_140_0003	Auction	2	6
cat_paths_60_70_0005	Auction	2	6
cat_paths_60_150_0004	Auction	2	6
cat_sched_60_180_0002	Auction	2	6
cat_paths_60_160_0006	Auction	2	6
cat_sched_60_90_0001	Auction	2	6
cat_paths_60_120_0006	Auction	2	6
cat_sched_60_150_0004	Auction	2	6
cat_sched_60_140_0001	Auction	2	6
cat_paths_60_120_0002	Auction	2	6
cat_paths_60_100_0003	Auction	2	6
cat_paths_60_80_0001	Auction	2	6
cat_sched_60_130_0002	Auction	2	6
cat_paths_60_130_0001	Auction	2	6
cat_sched_60_160_0003	Auction	2	6
cat_paths_60_90_0007	Auction	2	6
cat_sched_60_90_0005	Auction	2	6
cat_sched_60_90_0004	Auction	2	6
cat_sched_60_90_0002	Auction	2	6
cat_sched_60_80_0001	Auction	2	6
cat_paths_60_130_0002	Auction	2	6
cat_paths_60_130_0006	Auction	2	6
cat_sched_60_160_0000	Auction	2	6
cat_paths_60_100_0002	Auction	2	6
cat_paths_60_100_0005	Auction	2	6
cat_paths_60_80_0000	Auction	2	6
cat_paths_60_70_0002	Auction	2	6
cat_sched_60_70_0003	Auction	2	6
cat_sched_60_150_0002	Auction	2	6
cat_sched_60_190_0001	Auction	2	6
cat_paths_60_150_0001	Auction	2	6
cat_paths_60_90_0005	Auction	2	6
cat_paths_60_170_0007	Auction	2	6
cat_paths_60_80_0004	Auction	2	6
cat_sched_60_140_0002	Auction	2	6
cat_paths_60_90_0001	Auction	2	6
cat_paths_60_110_0001	Auction	2	6
cat_sched_60_180_0003	Auction	2	6
cat_paths_60_90_0003	Auction	2	6
cat_paths_60_90_0000	Auction	2	6
cat_sched_60_160_0005	Auction	2	6
cat_sched_60_190_0003	Auction	2	6
cat_paths_60_80_0003	Auction	2	6
cat_paths_60_110_0003	Auction	2	6
cat_sched_60_80_0003	Auction	2	6
cat_paths_60_170_0004	Auction	2	6
cat_sched_60_110_0005	Auction	2	6
cat_sched_60_120_0005	Auction	2	6
cat_paths_60_100_0006	Auction	2	6
cat_paths_60_120_0000	Auction	2	6
cat_sched_60_150_0001	Auction	2	6
cat_paths_60_70_0001	Auction	2	6
cat_paths_60_130_0000	Auction	2	6
cat_paths_60_100_0007	Auction	2	6
cat_sched_60_100_0003	Auction	2	6
cat_paths_60_170_0000	Auction	2	6
cat_sched_60_130_0004	Auction	2	6
cat_sched_60_170_0001	Auction	2	6
cat_paths_60_140_0007	Auction	2	6
cat_sched_60_170_0005	Auction	2	6
cat_sched_60_190_0004	Auction	2	6
cat_sched_60_120_0001	Auction	2	6
cat_sched_60_200_0003	Auction	2	6
cat_paths_60_130_0005	Auction	2	6
cat_sched_60_140_0004	Auction	2	6
cat_paths_60_170_0003	Auction	2	6
cat_paths_60_100_0004	Auction	2	6
cat_sched_60_190_0000	Auction	2	6
cat_paths_60_90_0004	Auction	2	6
cat_paths_60_70_0006	Auction	2	6
cat_sched_60_120_0000	Auction	2	6
cat_sched_60_180_0004	Auction	2	6
cat_paths_60_140_0006	Auction	2	6
cat_paths_60_150_0002	Auction	2	6
cat_paths_60_110_0006	Auction	2	6
cat_paths_60_150_0007	Auction	2	6
cat_sched_60_80_0002	Auction	2	6
cat_sched_60_160_0004	Auction	2	6
cat_paths_60_130_0007	Auction	2	6
cat_paths_60_140_0003	Auction	2	6
cat_paths_60_80_0006	Auction	2	6
cat_paths_60_160_0001	Auction	2	6
cat_paths_60_120_0003	Auction	2	6
cat_sched_60_100_0005	Auction	2	6
cat_paths_60_150_0005	Auction	2	6
cat_sched_60_70_0004	Auction	2	6
cat_paths_60_120_0007	Auction	2	6
cat_sched_60_170_0002	Auction	2	6
cat_sched_60_140_0000	Auction	2	6
cat_paths_60_90_0006	Auction	2	6
cat_sched_60_70_0001	Auction	2	6
cat_sched_60_150_0003	Auction	2	6
cat_sched_60_150_0000	Auction	2	6
cat_paths_60_130_0003	Auction	2	6
cat_paths_60_140_0001	Auction	2	6
cat_sched_60_110_0002	Auction	2	6
cat_paths_60_100_0000	Auction	2	6
cat_paths_60_120_0001	Auction	2	6
cat_sched_60_110_0003	Auction	2	6
cat_sched_60_100_0000	Auction	2	6
cat_sched_60_130_0000	Auction	2	6
cat_sched_60_170_0000	Auction	2	6
cat_sched_60_140_0005	Auction	2	6
cat_paths_60_160_0002	Auction	2	6
cat_paths_60_100_0001	Auction	2	6
cat_sched_60_80_0005	Auction	2	6
cat_sched_60_90_0003	Auction	2	6
cat_paths_60_80_0007	Auction	2	6
cat_sched_60_110_0001	Auction	2	6
cat_paths_60_70_0000	Auction	2	6
cat_sched_60_70_0002	Auction	2	6
cat_paths_60_90_0002	Auction	2	6
cat_paths_60_110_0002	Auction	2	6
cat_sched_60_110_0004	Auction	2	6
cat_paths_60_160_0007	Auction	2	6
cat_paths_60_160_0003	Auction	2	6
cat_paths_60_110_0005	Auction	2	6
cat_paths_60_80_0005	Auction	2	6
cat_sched_60_200_0005	Auction	2	6
cat_paths_60_120_0004	Auction	2	6
cat_sched_60_70_0000	Auction	2	6
cat_sched_60_120_0002	Auction	2	6
cat_sched_60_130_0003	Auction	2	6
cat_sched_60_190_0005	Auction	2	6
cat_paths_60_150_0000	Auction	2	6
cat_paths_60_140_0004	Auction	2	6
cat_sched_60_180_0000	Auction	2	6
cat_paths_60_160_0004	Auction	2	6
cat_paths_60_140_0002	Auction	2	6
cat_sched_60_160_0002	Auction	2	6
cat_paths_60_70_0004	Auction	2	6
cat_sched_60_80_0000	Auction	2	6
cat_sched_60_120_0004	Auction	2	6
cat_sched_60_200_0000	Auction	2	6
cat_sched_60_160_0001	Auction	2	6
cat_paths_60_170_0005	Auction	2	6
cat_sched_60_130_0001	Auction	2	6
cat_paths_60_110_0000	Auction	2	6
cat_paths_60_110_0004	Auction	2	6
cat_paths_60_70_0003	Auction	2	6
cat_sched_60_200_0004	Auction	2	6
cat_paths_60_150_0003	Auction	2	6
cat_sched_60_170_0004	Auction	2	6
cat_paths_60_130_0004	Auction	2	6
cat_sched_60_120_0003	Auction	2	6
cat_sched_60_170_0003	Auction	2	6
cat_sched_60_130_0005	Auction	2	6
cat_sched_60_150_0005	Auction	2	6
cat_paths_60_150_0006	Auction	2	6
cat_sched_60_180_0005	Auction	2	6
cat_paths_60_160_0005	Auction	2	6
cat_sched_60_100_0004	Auction	2	6
cat_sched_60_200_0001	Auction	2	6
cat_sched_60_180_0001	Auction	2	6
cat_paths_60_140_0000	Auction	2	6
cat_paths_60_80_0002	Auction	2	6
cat_sched_60_70_0005	Auction	2	6
cat_paths_60_170_0006	Auction	2	6
cat_paths_60_140_0005	Auction	2	6
cat_sched_60_110_0000	Auction	2	6
cat_sched_60_100_0002	Auction	2	6
cat_paths_60_110_0007	Auction	2	6
cat_paths_60_120_0005	Auction	2	6
cat_sched_60_90_0000	Auction	2	6
cat_sched_60_100_0001	Auction	2	6
cat_paths_60_70_0007	Auction	2	6
TST_test_0100_80_102	ChineseChars	2	6
TST_test_0096_56_107	ChineseChars	2	6
TST_test_0094_64_131	ChineseChars	2	6
TST_test_0078_72_108	ChineseChars	2	6
TST_test_0064_80_103	ChineseChars	2	6
TST_test_0086_80_112	ChineseChars	2	6
TST_test_0067_96_121	ChineseChars	2	6
TST_test_0049_96_79	ChineseChars	2	6
TST_test_0056_88_112	ChineseChars	2	6
TST_test_0006_112_99	ChineseChars	2	6
TST_test_0009_64_80	ChineseChars	2	6
TST_test_0084_120_115	ChineseChars	2	6
TST_test_0029_96_117	ChineseChars	2	6
TST_test_0042_72_104	ChineseChars	2	6
TST_test_0065_104_94	ChineseChars	2	6
TST_test_0007_88_112	ChineseChars	2	6
TST_test_0050_88_94	ChineseChars	2	6
TST_test_0015_80_73	ChineseChars	2	6
TST_test_0020_96_94	ChineseChars	2	6
TST_test_0004_88_97	ChineseChars	2	6
TST_test_0060_80_111	ChineseChars	2	6
TST_test_0031_64_78	ChineseChars	2	6
TST_test_0058_144_124	ChineseChars	2	6
TST_test_0082_96_106	ChineseChars	2	6
TST_test_0022_80_85	ChineseChars	2	6
TST_test_0057_80_95	ChineseChars	2	6
TST_test_0027_88_109	ChineseChars	2	6
TST_test_0034_112_94	ChineseChars	2	6
TST_test_0005_120_97	ChineseChars	2	6
TST_test_0012_88_103	ChineseChars	2	6
TST_test_0021_112_124	ChineseChars	2	6
TST_test_0079_88_81	ChineseChars	2	6
TST_test_0037_80_101	ChineseChars	2	6
TST_test_0073_128_113	ChineseChars	2	6
TST_test_0044_56_93	ChineseChars	2	6
TST_test_0032_64_89	ChineseChars	2	6
TST_test_0055_96_108	ChineseChars	2	6
TST_test_0024_88_126	ChineseChars	2	6
TST_test_0045_80_120	ChineseChars	2	6
TST_test_0019_120_106	ChineseChars	2	6
TST_test_0023_112_112	ChineseChars	2	6
TST_test_0069_96_109	ChineseChars	2	6
TST_test_0091_136_95	ChineseChars	2	6
TST_test_0017_112_101	ChineseChars	2	6
TST_test_0051_64_106	ChineseChars	2	6
TST_test_0092_96_111	ChineseChars	2	6
TST_test_0085_64_126	ChineseChars	2	6
TST_test_0076_80_93	ChineseChars	2	6
TST_test_0040_80_93	ChineseChars	2	6
TST_test_0093_104_105	ChineseChars	2	6
TST_test_0061_88_86	ChineseChars	2	6
TST_test_0030_112_123	ChineseChars	2	6
TST_test_0074_96_107	ChineseChars	2	6
TST_test_0038_96_110	ChineseChars	2	6
TST_test_0062_88_106	ChineseChars	2	6
TST_test_0080_104_107	ChineseChars	2	6
TST_test_0013_64_94	ChineseChars	2	6
TST_test_0016_72_83	ChineseChars	2	6
TST_test_0018_80_110	ChineseChars	2	6
TST_test_0003_64_99	ChineseChars	2	6
TST_test_0072_96_113	ChineseChars	2	6
TST_test_0053_88_118	ChineseChars	2	6
TST_test_0077_96_95	ChineseChars	2	6
TST_test_0014_72_73	ChineseChars	2	6
TST_test_0047_112_121	ChineseChars	2	6
TST_test_0081_112_96	ChineseChars	2	6
TST_test_0099_72_105	ChineseChars	2	6
TST_test_0011_96_101	ChineseChars	2	6
TST_test_0041_88_96	ChineseChars	2	6
TST_test_0095_128_109	ChineseChars	2	6
TST_test_0059_104_73	ChineseChars	2	6
TST_test_0097_56_111	ChineseChars	2	6
TST_test_0026_56_92	ChineseChars	2	6
TST_test_0028_48_105	ChineseChars	2	6
TST_test_0068_72_94	ChineseChars	2	6
TST_test_0090_104_116	ChineseChars	2	6
TST_test_0001_88_115	ChineseChars	2	6
TST_test_0035_80_86	ChineseChars	2	6
TST_test_0075_88_92	ChineseChars	2	6
TST_test_0025_64_92	ChineseChars	2	6
TST_test_0098_112_98	ChineseChars	2	6
TST_test_0010_80_109	ChineseChars	2	6
TST_test_0071_72_94	ChineseChars	2	6
TST_test_0036_72_114	ChineseChars	2	6
TST_test_0046_96_105	ChineseChars	2	6
TST_test_0066_96_121	ChineseChars	2	6
TST_test_0052_96_107	ChineseChars	2	6
TST_test_0063_120_108	ChineseChars	2	6
TST_test_0087_88_124	ChineseChars	2	6
TST_test_0008_80_102	ChineseChars	2	6
TST_test_0048_72_98	ChineseChars	2	6
TST_test_0043_72_106	ChineseChars	2	6
TST_test_0033_88_84	ChineseChars	2	6
TST_test_0070_88_96	ChineseChars	2	6
TST_test_0039_80_99	ChineseChars	2	6
TST_test_0083_72_105	ChineseChars	2	6
TST_test_0088_104_107	ChineseChars	2	6
TST_test_0089_72_92	ChineseChars	2	6
TST_test_0054_88_106	ChineseChars	2	6
TST_test_0002_88_105	ChineseChars	2	6
mancoosi-test-i3000d0u98-55	Upgradeability	77	6
mancoosi-test-i3000d0u98-57	Upgradeability	77	6
mancoosi-test-i3000d0u98-50	Upgradeability	77	6
mancoosi-test-i1000d0u98-21	Upgradeability	77	6
mancoosi-test-i3000d0u98-66	Upgradeability	77	6
mancoosi-test-i1000d0u98-19	Upgradeability	77	6
mancoosi-test-i2000d0u98-38	Upgradeability	77	6
mancoosi-test-i2000d0u98-36	Upgradeability	77	6
mancoosi-test-i3000d0u98-53	Upgradeability	77	6
mancoosi-test-i2000d0u98-43	Upgradeability	77	6
mancoosi-test-i1000d0u98-18	Upgradeability	77	6
mancoosi-test-i2000d0u98-34	Upgradeability	77	6
mancoosi-test-i2000d0u98-47	Upgradeability	77	6
mancoosi-test-i2000d0u98-40	Upgradeability	77	6
mancoosi-test-i3000d0u98-60	Upgradeability	77	6
mancoosi-test-i2000d0u98-29	Upgradeability	77	6
mancoosi-test-i4000d0u98-93	Upgradeability	77	6
mancoosi-test-i1000d0u98-24	Upgradeability	77	6
mancoosi-test-i1000d0u98-11	Upgradeability	77	6
mancoosi-test-i4000d0u98-76	Upgradeability	77	6
mancoosi-test-i1000d0u98-0	Upgradeability	77	6
mancoosi-test-i1000d0u98-3	Upgradeability	77	6
mancoosi-test-i4000d0u98-85	Upgradeability	77	6
mancoosi-test-i1000d0u98-15	Upgradeability	77	6
mancoosi-test-i3000d0u98-74	Upgradeability	77	6
mancoosi-test-i1000d0u98-4	Upgradeability	77	6
mancoosi-test-i3000d0u98-59	Upgradeability	77	6
mancoosi-test-i2000d0u98-45	Upgradeability	77	6
mancoosi-test-i1000d0u98-12	Upgradeability	77	6
mancoosi-test-i1000d0u98-10	Upgradeability	77	6
mancoosi-test-i4000d0u98-84	Upgradeability	77	6
mancoosi-test-i2000d0u98-42	Upgradeability	77	6
mancoosi-test-i3000d0u98-71	Upgradeability	77	6
mancoosi-test-i3000d0u98-63	Upgradeability	77	6
mancoosi-test-i4000d0u98-78	Upgradeability	77	6
mancoosi-test-i4000d0u98-95	Upgradeability	77	6
mancoosi-test-i4000d0u98-79	Upgradeability	77	6
mancoosi-test-i3000d0u98-61	Upgradeability	77	6
mancoosi-test-i4000d0u98-90	Upgradeability	77	6
mancoosi-test-i1000d0u98-6	Upgradeability	77	6
mancoosi-test-i1000d0u98-14	Upgradeability	77	6
mancoosi-test-i2000d0u98-35	Upgradeability	77	6
mancoosi-test-i4000d0u98-81	Upgradeability	77	6
mancoosi-test-i4000d0u98-88	Upgradeability	77	6
mancoosi-test-i3000d0u98-58	Upgradeability	77	6
mancoosi-test-i3000d0u98-67	Upgradeability	77	6
mancoosi-test-i3000d0u98-65	Upgradeability	77	6
mancoosi-test-i2000d0u98-33	Upgradeability	77	6
mancoosi-test-i2000d0u98-31	Upgradeability	77	6
mancoosi-test-i2000d0u98-41	Upgradeability	77	6
mancoosi-test-i2000d0u98-26	Upgradeability	77	6
mancoosi-test-i2000d0u98-32	Upgradeability	77	6
mancoosi-test-i2000d0u98-48	Upgradeability	77	6
mancoosi-test-i1000d0u98-13	Upgradeability	77	6
mancoosi-test-i3000d0u98-72	Upgradeability	77	6
mancoosi-test-i1000d0u98-16	Upgradeability	77	6
mancoosi-test-i3000d0u98-64	Upgradeability	77	6
mancoosi-test-i3000d0u98-70	Upgradeability	77	6
mancoosi-test-i3000d0u98-56	Upgradeability	77	6
mancoosi-test-i1000d0u98-23	Upgradeability	77	6
mancoosi-test-i3000d0u98-51	Upgradeability	77	6
mancoosi-test-i1000d0u98-7	Upgradeability	77	6
mancoosi-test-i2000d0u98-44	Upgradeability	77	6
mancoosi-test-i1000d0u98-2	Upgradeability	77	6
mancoosi-test-i4000d0u98-80	Upgradeability	77	6
mancoosi-test-i4000d0u98-89	Upgradeability	77	6
mancoosi-test-i3000d0u98-62	Upgradeability	77	6
mancoosi-test-i4000d0u98-82	Upgradeability	77	6
mancoosi-test-i1000d0u98-1	Upgradeability	77	6
mancoosi-test-i1000d0u98-22	Upgradeability	77	6
mancoosi-test-i4000d0u98-94	Upgradeability	77	6
mancoosi-test-i4000d0u98-77	Upgradeability	77	6
mancoosi-test-i4000d0u98-92	Upgradeability	77	6
mancoosi-test-i4000d0u98-98	Upgradeability	77	6
mancoosi-test-i1000d0u98-17	Upgradeability	77	6
mancoosi-test-i2000d0u98-27	Upgradeability	77	6
mancoosi-test-i2000d0u98-46	Upgradeability	77	6
mancoosi-test-i2000d0u98-25	Upgradeability	77	6
mancoosi-test-i2000d0u98-30	Upgradeability	77	6
mancoosi-test-i4000d0u98-99	Upgradeability	77	6
mancoosi-test-i3000d0u98-68	Upgradeability	77	6
mancoosi-test-i4000d0u98-75	Upgradeability	77	6
mancoosi-test-i4000d0u98-87	Upgradeability	77	6
mancoosi-test-i3000d0u98-52	Upgradeability	77	6
mancoosi-test-i4000d0u98-96	Upgradeability	77	6
mancoosi-test-i2000d0u98-37	Upgradeability	77	6
mancoosi-test-i2000d0u98-28	Upgradeability	77	6
mancoosi-test-i1000d0u98-8	Upgradeability	77	6
mancoosi-test-i1000d0u98-9	Upgradeability	77	6
mancoosi-test-i4000d0u98-83	Upgradeability	77	6
mancoosi-test-i2000d0u98-39	Upgradeability	77	6
mancoosi-test-i3000d0u98-69	Upgradeability	77	6
mancoosi-test-i3000d0u98-54	Upgradeability	77	6
mancoosi-test-i2000d0u98-49	Upgradeability	77	6
mancoosi-test-i3000d0u98-73	Upgradeability	77	6
mancoosi-test-i4000d0u98-86	Upgradeability	77	6
mancoosi-test-i4000d0u98-97	Upgradeability	77	6
mancoosi-test-i4000d0u98-91	Upgradeability	77	6
mancoosi-test-i1000d0u98-20	Upgradeability	77	6
mancoosi-test-i1000d0u98-5	Upgradeability	77	6
normalized-mps-v2-20-10-mod008.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-sentoy.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-p0548.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-lseu.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-p0201.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-lp4l.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-p0040.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-bm23.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-l152lav.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-mod010.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-p0033.opb.msat	MIPLib	NA	5
normalized-mps-v2-20-10-cracpb1.opb.msat	MIPLib	NA	5
WCNF_pathways_p18	PlanningWithPref	NA	5
WCNF_pathways_p14	PlanningWithPref	NA	5
WCNF_storage_p01	PlanningWithPref	NA	5
WCNF_pathways_p10	PlanningWithPref	NA	5
WCNF_trucks_p04	PlanningWithPref	NA	5
WCNF_pathways_p12	PlanningWithPref	NA	5
WCNF_pathways_p03	PlanningWithPref	NA	5
WCNF_pathways_p11	PlanningWithPref	NA	5
WCNF_trucks_p01	PlanningWithPref	NA	5
WCNF_storage_p02	PlanningWithPref	NA	5
WCNF_trucks_p03	PlanningWithPref	NA	5
WCNF_storage_p04	PlanningWithPref	NA	5
WCNF_pathways_p17	PlanningWithPref	NA	5
WCNF_pathways_p09	PlanningWithPref	NA	5
WCNF_pathways_p08	PlanningWithPref	NA	5
WCNF_pathways_p04	PlanningWithPref	NA	5
WCNF_pathways_p20	PlanningWithPref	NA	5
WCNF_pathways_p16	PlanningWithPref	NA	5
WCNF_storage_p07	PlanningWithPref	NA	5
WCNF_pathways_p02	PlanningWithPref	NA	5
WCNF_pathways_p01	PlanningWithPref	NA	5
WCNF_pathways_p07	PlanningWithPref	NA	5
WCNF_pathways_p06	PlanningWithPref	NA	5
WCNF_storage_p05	PlanningWithPref	NA	5
WCNF_storage_p06	PlanningWithPref	NA	5
WCNF_storage_p03	PlanningWithPref	NA	5
WCNF_trucks_p02	PlanningWithPref	NA	5
WCNF_trucks_p05	PlanningWithPref	NA	5
WCNF_pathways_p05	PlanningWithPref	NA	5
comp07	TimeTabling	NA	5
comp20	TimeTabling	NA	5
test4	TimeTabling	NA	5
comp12	TimeTabling	NA	5
comp08	TimeTabling	NA	5
comp10	TimeTabling	NA	5
comp13	TimeTabling	NA	5
comp14	TimeTabling	NA	5
comp05	TimeTabling	NA	5
comp18	TimeTabling	NA	5
comp17	TimeTabling	NA	5
comp15	TimeTabling	NA	5
test2	TimeTabling	NA	5
comp09	TimeTabling	NA	5
comp01	TimeTabling	NA	5
comp21	TimeTabling	NA	5
comp19	TimeTabling	NA	5
comp03	TimeTabling	NA	5
comp04	TimeTabling	NA	5
test3	TimeTabling	NA	5
comp02	TimeTabling	NA	5
comp16	TimeTabling	NA	5
comp06	TimeTabling	NA	5
test1	TimeTabling	NA	5
dds1	TimeTabling	NA	5
