set	instance	nvars	ncliques	boolean	bytes
MMAP	Promedas_44	999	998	yes	113679
MMAP	Promedas_45	750	750	yes	87875
MMAP	Promedas_46	926	926	yes	102971
MMAP	Promedas_47	811	811	yes	93778
MMAP	Promedas_48	855	855	yes	102532
MMAP	Promedas_49	770	770	yes	89464
MMAP	Promedas_50	938	938	yes	108355
MMAP	Promedas_51	859	859	yes	94764
MMAP	Promedas_52	731	730	yes	85127
MMAP	Promedas_53	748	748	yes	88940
MMAP	Promedas_54	1163	1163	yes	129143
MMAP	Promedas_55	782	782	yes	88098
MMAP	Promedas_56	752	752	yes	86748
MMAP	Promedas_57	744	744	yes	85922
MMAP	Promedas_58	1050	1050	yes	115057
MMAP	Promedas_59	794	794	yes	89927
MMAP	Promedas_60	1076	1076	yes	115144
MMAP	Promedas_61	668	668	yes	77777
MMAP	Promedas_62	639	639	yes	74320
MMAP	Promedas_63	685	685	yes	81057
MMAP	Promedas_64	624	624	yes	72311
MMAP	Promedas_65	841	841	yes	91339
MMAP	Promedas_66	725	725	yes	82453
MMAP	Promedas_67	830	829	yes	94224
MMAP	Promedas_68	1022	1022	yes	109977
MMAP	Promedas_69	612	612	yes	69515
MMAP	Promedas_70	534	534	yes	58751
MMAP	Promedas_71	613	613	yes	72828
MMAP	ProteinFolding_11	400	1160	yes	46384
MMAP	ProteinFolding_12	250	2098	no	17876163
MMAP	ProteinFolding_13	100	1055	no	7509759
MMAP	ProteinFolding_14	80	847	no	5154151
MMAP	ProteinFolding_15	50	536	no	3068912
MMAP	ProteinFolding_16	150	1432	no	9585415
MMAP	ProteinFolding_17	60	1830	no	4007632
MMAP	ProteinFolding_18	60	1830	no	7046585
MMAP	ProteinFolding_19	60	1830	no	1547517
MMAP	ProteinFolding_20	60	1830	no	3435878
MMAP	ProteinFolding_21	60	1830	no	6104911
MMAP	ProteinFolding_22	60	1830	no	6315586
MMAP	ProteinFolding_23	60	1830	no	1634956
MMAP	ProteinFolding_24	60	1830	no	3589026
MMAP	ProteinFolding_25	60	1830	no	6335479
MMAP	Segmentation_11	228	852	no	2500797
MMAP	Segmentation_12	231	856	yes	30464
MMAP	Segmentation_13	225	832	yes	29545
MMAP	Segmentation_14	231	863	yes	30792
MMAP	Segmentation_15	229	851	no	2495230
MMAP	Segmentation_16	228	838	yes	29830
MMAP	Segmentation_17	225	837	no	2455164
MMAP	Segmentation_18	235	882	yes	31491
MMAP	Segmentation_19	228	852	yes	30370
MMAP	Segmentation_20	232	867	no	2545314
MMAP	wcsp_11	230	5226	no	269150
MMAP	wcsp_12	311	5732	no	571195
MMAP	wcsp_13	179	7109	no	731539
MMAP	wcsp_14	301	19161	no	2091103
MMAP	wcsp_15	125	736	no	65218
MMAP	wcsp_16	200	1970	no	21113606
MMAP	wcsp_17	340	3417	no	37045829
MMAP	wcsp_18	239	18016	no	6453375
PR	2bitadd_11.cnf	649	1562	yes	140462
PR	2bitcomp_5.cnf	125	310	yes	8455
PR	2bitmax_6.cnf	252	766	yes	21719
PR	Alchemy_11	440	860	yes	49197
PR	BN_69	777	777	no	2882174
PR	BN_70	2315	2315	no	4339071
PR	BN_71	1740	1740	no	3727898
PR	BN_72	2155	2155	no	4628153
PR	BN_73	2140	2140	no	4610051
PR	BN_74	749	749	no	1792416
PR	BN_75	1820	1820	no	3751865
PR	BN_76	2155	2155	no	5747083
PR	c1908.isc.cnf	751	2053	yes	58663
PR	c432.isc.cnf	196	514	yes	20173
PR	c880.isc.cnf	417	1060	yes	26089
PR	CSP_11	82	462	no	20949
PR	CSP_12	67	271	no	15311
PR	CSP_13	100	710	no	29824
PR	DBN_11	40	440	yes	20616
PR	DBN_12	42	483	yes	22685
PR	DBN_13	44	528	yes	24838
PR	DBN_14	40	440	yes	20622
PR	DBN_15	42	483	yes	22691
PR	DBN_16	44	528	yes	24854
PR	grid10x10.f10	100	280	yes	10323
PR	Grids_11	100	300	yes	10798
PR	Grids_12	100	280	yes	10323
PR	Grids_13	100	300	yes	11166
PR	Grids_14	100	300	yes	11672
PR	Grids_15	400	1160	yes	42162
PR	Grids_16	400	1160	yes	43086
PR	Grids_17	400	1160	yes	44368
PR	Grids_18	400	1160	yes	46384
PR	linkage_11	1077	1077	no	95977
PR	linkage_12	1183	1183	no	181407
PR	linkage_13	1062	1062	no	146094
PR	linkage_14	448	448	no	89166
PR	linkage_15	1152	1152	no	121373
PR	linkage_16	402	402	no	54349
PR	linkage_17	1068	1068	no	99362
PR	linkage_18	1118	1118	no	167047
PR	linkage_19	793	793	no	165850
PR	linkage_20	1160	1160	no	117432
PR	linkage_21	437	437	no	70623
PR	linkage_22	798	798	no	77228
PR	linkage_23	1032	1032	no	95679
PR	linkage_24	1289	1289	no	144710
PR	linkage_25	1030	1030	no	206068
PR	linkage_26	1289	1289	no	123474
PR	linkage_27	811	811	no	102507
PR	log-1.cnf	939	3785	yes	79858
PR	log-2.cnf	1337	24777	yes	511196
PR	log-3.cnf	1413	29487	yes	607495
PR	log-4.cnf	2303	20963	yes	454030
PR	log-5.cnf	2701	29534	yes	648043
PR	logistics.a.cnf	828	6718	yes	360270
PR	logistics.b.cnf	843	7301	yes	1214984
PR	logistics.c.cnf	1141	10719	yes	1849632
PR	ObjectDetection_11	60	225	no	137302
PR	ObjectDetection_12	60	210	no	269586
PR	ObjectDetection_13	60	225	no	295605
PR	ObjectDetection_14	60	210	no	468627
PR	ObjectDetection_15	60	195	no	422488
PR	ObjectDetection_16	60	225	no	294815
PR	ObjectDetection_17	60	210	no	468816
PR	ObjectDetection_18	60	210	no	270436
PR	ObjectDetection_19	60	225	no	296738
PR	ObjectDetection_20	60	210	no	470380
PR	ObjectDetection_21	60	195	no	423183
PR	ObjectDetection_22	60	225	no	136987
PR	ObjectDetection_23	60	225	no	295738
PR	ObjectDetection_24	60	210	no	469930
PR	ObjectDetection_25	60	195	no	423790
PR	ObjectDetection_26	60	225	no	288187
PR	ObjectDetection_27	60	210	no	459398
PR	ObjectDetection_28	60	210	no	119943
PR	ObjectDetection_29	60	195	no	234225
PR	ObjectDetection_30	60	225	no	136049
PR	ObjectDetection_31	60	210	no	266733
PR	ObjectDetection_32	60	195	no	241316
PR	ObjectDetection_33	60	195	no	419513
PR	ObjectDetection_34	60	210	no	121585
PR	ObjectDetection_35	60	225	no	133032
PR	ObjectDetection_36	60	210	no	262084
PR	ObjectDetection_37	60	195	no	412808
PR	ObjectDetection_38	60	225	no	136961
PR	ObjectDetection_39	60	210	no	269382
PR	ObjectDetection_40	60	195	no	243808
PR	ObjectDetection_41	60	195	no	424190
PR	ObjectDetection_42	60	225	no	133446
PR	ObjectDetection_43	60	210	no	264157
PR	ObjectDetection_44	60	195	no	238821
PR	ObjectDetection_45	60	195	no	417164
PR	ObjectDetection_46	60	210	no	121240
PR	ObjectDetection_47	60	225	no	132917
PR	ObjectDetection_48	60	210	no	262034
PR	ObjectDetection_49	60	195	no	237043
PR	ObjectDetection_50	60	195	no	413227
PR	ObjectDetection_51	60	210	no	120843
PR	ObjectDetection_52	60	225	no	132449
PR	ObjectDetection_53	60	210	no	260831
PR	ObjectDetection_54	60	225	no	130669
PR	ObjectDetection_55	60	210	no	256694
PR	ObjectDetection_56	60	195	no	232393
PR	ObjectDetection_57	60	195	no	404507
PR	ObjectDetection_58	60	225	no	132147
PR	ObjectDetection_59	60	210	no	260343
PR	ObjectDetection_60	60	195	no	410894
PR	ObjectDetection_61	60	210	no	120553
PR	ObjectDetection_62	60	225	no	131982
PR	ObjectDetection_63	60	210	no	260215
PR	ObjectDetection_64	60	195	no	235206
PR	ObjectDetection_65	60	195	no	410116
PR	ObjectDetection_66	60	225	no	131176
PR	ObjectDetection_67	60	210	no	257280
PR	ObjectDetection_68	60	195	no	232799
PR	ObjectDetection_69	60	195	no	405820
PR	ObjectDetection_70	60	210	no	122152
PR	ObjectDetection_71	60	225	no	133668
PR	ObjectDetection_72	60	210	no	264140
PR	ObjectDetection_73	60	195	no	416369
PR	ObjectDetection_74	60	210	no	119289
PR	ObjectDetection_75	60	225	no	130651
PR	Pedigree_11	385	385	no	16479
PR	Pedigree_12	385	385	no	19631
PR	Pedigree_13	385	385	no	19403
PR	prob001.pddl.cnf	939	3785	yes	79834
PR	prob002.pddl.cnf	1337	24777	yes	511196
PR	prob003.pddl.cnf	1413	29487	yes	607495
PR	prob004.pddl.cnf	2303	20963	yes	454030
PR	prob005.pddl.cnf	2701	29534	yes	648043
PR	prob012.pddl.cnf	2324	31857	yes	690475
PR	Promedus_11	461	461	yes	51617
PR	Promedus_12	534	534	yes	58751
PR	Promedus_13	894	894	yes	94950
PR	Promedus_14	414	414	yes	48170
PR	Promedus_15	385	385	yes	41972
PR	Promedus_16	715	715	yes	73788
PR	Promedus_17	916	916	yes	96706
PR	Promedus_18	374	374	yes	44038
PR	Promedus_19	624	624	yes	68981
PR	Promedus_20	546	546	yes	59856
PR	Promedus_21	473	473	yes	51552
PR	Promedus_22	400	400	yes	42043
PR	Promedus_23	674	674	yes	71271
PR	Promedus_24	200	200	yes	20145
PR	Promedus_25	1005	1005	yes	107442
PR	Promedus_26	614	614	yes	61973
PR	Promedus_27	410	410	yes	44547
PR	Promedus_28	463	463	yes	49820
PR	Promedus_29	434	434	yes	44082
PR	Promedus_30	306	306	yes	31882
PR	Promedus_31	466	466	yes	50863
PR	Promedus_32	511	511	yes	52848
PR	Promedus_33	378	378	yes	38267
PR	Promedus_34	415	415	yes	45357
PR	Promedus_35	467	467	yes	51017
PR	Promedus_36	467	467	yes	51017
PR	Promedus_37	1039	1039	yes	109853
PR	Promedus_38	668	668	yes	75768
PR	ra.cnf	1236	11416	yes	218596
PR	rb.cnf	1854	11324	yes	910866
PR	rc.cnf	2472	17942	yes	909946
PR	relational_1	500	62500	yes	3598518
PR	relational_2	13000	25750	yes	1902800
PR	relational_3	1000	2000	yes	270948
PR	relational_4	10200	20200	yes	1493110
PR	relational_5	10000	60000	yes	3277810
PR	sat-grid-pbl-0010.cnf	110	191	yes	4460
PR	Segmentation_11	228	845	yes	30117
PR	Segmentation_12	229	851	yes	30281
PR	Segmentation_13	235	882	yes	31491
PR	Segmentation_14	226	845	yes	30123
PR	Segmentation_15	232	863	yes	30749
PR	Segmentation_16	231	864	yes	30793
