instance	family	nvars	max_arity	n_ge10	n_ge20
cat_sched_60_110_0000	Auction	159	2	0	0
cat_sched_60_110_0001	Auction	144	2	0	0
cat_sched_60_110_0002	Auction	131	2	0	0
cat_sched_60_110_0003	Auction	136	2	0	0
cat_sched_60_110_0004	Auction	129	2	0	0
cat_sched_60_110_0005	Auction	124	2	0	0
cat_sched_60_120_0000	Auction	166	2	0	0
cat_sched_60_120_0001	Auction	177	2	0	0
cat_sched_60_120_0002	Auction	152	2	0	0
cat_sched_60_120_0003	Auction	158	2	0	0
cat_sched_60_120_0004	Auction	163	2	0	0
cat_sched_60_120_0005	Auction	148	2	0	0
cat_sched_60_130_0000	Auction	163	2	0	0
cat_sched_60_130_0001	Auction	148	2	0	0
cat_sched_60_130_0002	Auction	168	2	0	0
cat_sched_60_130_0003	Auction	142	2	0	0
cat_sched_60_130_0004	Auction	165	2	0	0
cat_sched_60_130_0005	Auction	144	2	0	0
cat_sched_60_140_0000	Auction	166	2	0	0
cat_sched_60_140_0001	Auction	171	2	0	0
cat_sched_60_140_0002	Auction	196	2	0	0
cat_sched_60_140_0003	Auction	167	2	0	0
cat_sched_60_140_0004	Auction	198	2	0	0
cat_sched_60_140_0005	Auction	166	2	0	0
cat_sched_60_150_0000	Auction	159	2	0	0
cat_sched_60_150_0001	Auction	172	2	0	0
cat_sched_60_150_0002	Auction	153	2	0	0
cat_sched_60_150_0003	Auction	160	2	0	0
cat_sched_60_150_0004	Auction	158	2	0	0
cat_sched_60_150_0005	Auction	202	2	0	0
cat_sched_60_160_0000	Auction	160	2	0	0
cat_sched_60_160_0001	Auction	187	2	0	0
cat_sched_60_160_0002	Auction	183	2	0	0
cat_sched_60_160_0003	Auction	161	2	0	0
cat_sched_60_160_0004	Auction	171	2	0	0
cat_sched_60_160_0005	Auction	162	2	0	0
cat_sched_60_170_0000	Auction	179	2	0	0
cat_sched_60_170_0001	Auction	208	2	0	0
cat_sched_60_170_0002	Auction	181	2	0	0
cat_sched_60_170_0003	Auction	198	2	0	0
cat_sched_60_170_0004	Auction	172	2	0	0
cat_sched_60_170_0005	Auction	218	2	0	0
cat_sched_60_180_0000	Auction	196	2	0	0
cat_sched_60_180_0001	Auction	186	2	0	0
cat_sched_60_180_0002	Auction	219	2	0	0
cat_sched_60_180_0003	Auction	207	2	0	0
cat_sched_60_180_0004	Auction	218	2	0	0
cat_sched_60_180_0005	Auction	210	2	0	0
cat_sched_60_190_0000	Auction	215	2	0	0
cat_sched_60_190_0001	Auction	216	2	0	0
cat_sched_60_190_0002	Auction	240	2	0	0
cat_sched_60_190_0003	Auction	192	2	0	0
cat_sched_60_190_0004	Auction	227	2	0	0
cat_sched_60_190_0005	Auction	228	2	0	0
cat_sched_60_200_0000	Auction	246	2	0	0
cat_sched_60_200_0001	Auction	202	2	0	0
cat_sched_60_200_0002	Auction	217	2	0	0
cat_sched_60_200_0003	Auction	205	2	0	0
cat_sched_60_200_0004	Auction	234	2	0	0
cat_sched_60_200_0005	Auction	212	2	0	0
cat_sched_60_70_0000	Auction	99	2	0	0
cat_sched_60_70_0001	Auction	94	2	0	0
cat_sched_60_70_0002	Auction	119	2	0	0
cat_sched_60_70_0003	Auction	86	2	0	0
cat_sched_60_70_0004	Auction	102	2	0	0
cat_sched_60_70_0005	Auction	104	2	0	0
cat_sched_60_80_0000	Auction	113	2	0	0
cat_sched_60_80_0001	Auction	92	2	0	0
cat_sched_60_80_0002	Auction	125	2	0	0
cat_sched_60_80_0003	Auction	113	2	0	0
cat_sched_60_80_0004	Auction	114	2	0	0
cat_sched_60_80_0005	Auction	105	2	0	0
cat_sched_60_90_0000	Auction	93	2	0	0
cat_sched_60_90_0001	Auction	102	2	0	0
cat_sched_60_90_0002	Auction	102	2	0	0
cat_sched_60_90_0003	Auction	101	2	0	0
cat_sched_60_90_0004	Auction	101	2	0	0
cat_sched_60_90_0005	Auction	99	2	0	0
TST_test_0001_88_115	ChineseChars	10120	2	0	0
TST_test_0002_88_105	ChineseChars	9240	2	0	0
TST_test_0003_64_99	ChineseChars	6336	2	0	0
TST_test_0004_88_97	ChineseChars	8536	2	0	0
TST_test_0005_120_97	ChineseChars	11640	2	0	0
TST_test_0006_112_99	ChineseChars	11088	2	0	0
TST_test_0007_88_112	ChineseChars	9856	2	0	0
TST_test_0008_80_102	ChineseChars	8160	2	0	0
TST_test_0009_64_80	ChineseChars	5120	2	0	0
TST_test_0010_80_109	ChineseChars	8720	2	0	0
TST_test_0011_96_101	ChineseChars	9696	2	0	0
TST_test_0012_88_103	ChineseChars	9064	2	0	0
TST_test_0013_64_94	ChineseChars	6016	2	0	0
TST_test_0014_72_73	ChineseChars	5256	2	0	0
TST_test_0015_80_73	ChineseChars	5840	2	0	0
TST_test_0016_72_83	ChineseChars	5976	2	0	0
TST_test_0017_112_101	ChineseChars	11312	2	0	0
TST_test_0018_80_110	ChineseChars	8800	2	0	0
TST_test_0019_120_106	ChineseChars	12720	2	0	0
TST_test_0020_96_94	ChineseChars	9024	2	0	0
TST_test_0021_112_124	ChineseChars	13888	2	0	0
TST_test_0022_80_85	ChineseChars	6800	2	0	0
TST_test_0023_112_112	ChineseChars	12544	2	0	0
TST_test_0024_88_126	ChineseChars	11088	2	0	0
TST_test_0025_64_92	ChineseChars	5888	2	0	0
TST_test_0026_56_92	ChineseChars	5152	2	0	0
TST_test_0027_88_109	ChineseChars	9592	2	0	0
TST_test_0028_48_105	ChineseChars	5040	2	0	0
TST_test_0029_96_117	ChineseChars	11232	2	0	0
TST_test_0030_112_123	ChineseChars	13776	2	0	0
TST_test_0031_64_78	ChineseChars	4992	2	0	0
TST_test_0032_64_89	ChineseChars	5696	2	0	0
TST_test_0033_88_84	ChineseChars	7392	2	0	0
TST_test_0034_112_94	ChineseChars	10528	2	0	0
TST_test_0035_80_86	ChineseChars	6880	2	0	0
TST_test_0036_72_114	ChineseChars	8208	2	0	0
TST_test_0037_80_101	ChineseChars	8080	2	0	0
TST_test_0038_96_110	ChineseChars	10560	2	0	0
TST_test_0039_80_99	ChineseChars	7920	2	0	0
TST_test_0040_80_93	ChineseChars	7440	2	0	0
TST_test_0041_88_96	ChineseChars	8448	2	0	0
TST_test_0042_72_104	ChineseChars	7488	2	0	0
TST_test_0043_72_106	ChineseChars	7632	2	0	0
TST_test_0044_56_93	ChineseChars	5208	2	0	0
TST_test_0045_80_120	ChineseChars	9600	2	0	0
TST_test_0046_96_105	ChineseChars	10080	2	0	0
TST_test_0047_112_121	ChineseChars	13552	2	0	0
TST_test_0048_72_98	ChineseChars	7056	2	0	0
TST_test_0049_96_79	ChineseChars	7584	2	0	0
TST_test_0050_88_94	ChineseChars	8272	2	0	0
TST_test_0051_64_106	ChineseChars	6784	2	0	0
TST_test_0052_96_107	ChineseChars	10272	2	0	0
TST_test_0053_88_118	ChineseChars	10384	2	0	0
TST_test_0054_88_106	ChineseChars	9328	2	0	0
TST_test_0055_96_108	ChineseChars	10368	2	0	0
TST_test_0056_88_112	ChineseChars	9856	2	0	0
TST_test_0057_80_95	ChineseChars	7600	2	0	0
TST_test_0058_144_124	ChineseChars	17856	2	0	0
TST_test_0059_104_73	ChineseChars	7592	2	0	0
TST_test_0060_80_111	ChineseChars	8880	2	0	0
TST_test_0061_88_86	ChineseChars	7568	2	0	0
TST_test_0062_88_106	ChineseChars	9328	2	0	0
TST_test_0063_120_108	ChineseChars	12960	2	0	0
TST_test_0064_80_103	ChineseChars	8240	2	0	0
TST_test_0065_104_94	ChineseChars	9776	2	0	0
TST_test_0066_96_121	ChineseChars	11616	2	0	0
TST_test_0067_96_121	ChineseChars	11616	2	0	0
TST_test_0068_72_94	ChineseChars	6768	2	0	0
TST_test_0069_96_109	ChineseChars	10464	2	0	0
TST_test_0070_88_96	ChineseChars	8448	2	0	0
TST_test_0071_72_94	ChineseChars	6768	2	0	0
TST_test_0072_96_113	ChineseChars	10848	2	0	0
TST_test_0073_128_113	ChineseChars	14464	2	0	0
TST_test_0074_96_107	ChineseChars	10272	2	0	0
TST_test_0075_88_92	ChineseChars	8096	2	0	0
TST_test_0076_80_93	ChineseChars	7440	2	0	0
TST_test_0077_96_95	ChineseChars	9120	2	0	0
TST_test_0078_72_108	ChineseChars	7776	2	0	0
TST_test_0079_88_81	ChineseChars	7128	2	0	0
TST_test_0080_104_107	ChineseChars	11128	2	0	0
TST_test_0081_112_96	ChineseChars	10752	2	0	0
TST_test_0082_96_106	ChineseChars	10176	2	0	0
TST_test_0083_72_105	ChineseChars	7560	2	0	0
TST_test_0084_120_115	ChineseChars	13800	2	0	0
TST_test_0085_64_126	ChineseChars	8064	2	0	0
TST_test_0086_80_112	ChineseChars	8960	2	0	0
TST_test_0087_88_124	ChineseChars	10912	2	0	0
TST_test_0088_104_107	ChineseChars	11128	2	0	0
TST_test_0089_72_92	ChineseChars	6624	2	0	0
TST_test_0090_104_116	ChineseChars	12064	2	0	0
TST_test_0091_136_95	ChineseChars	12920	2	0	0
TST_test_0092_96_111	ChineseChars	10656	2	0	0
TST_test_0093_104_105	ChineseChars	10920	2	0	0
TST_test_0094_64_131	ChineseChars	8384	2	0	0
TST_test_0095_128_109	ChineseChars	13952	2	0	0
TST_test_0096_56_107	ChineseChars	5992	2	0	0
TST_test_0097_56_111	ChineseChars	6216	2	0	0
TST_test_0098_112_98	ChineseChars	10976	2	0	0
TST_test_0099_72_105	ChineseChars	7560	2	0	0
TST_test_0100_80_102	ChineseChars	8160	2	0	0
geom-40-2-ext_1000	Coloring	40	2	0	0
le-450-5a-2-ext_1000	Coloring	450	2	0	0
rus_100_200_1_1	DBN	1094	2	0	0
rus_100_200_2_1	DBN	1094	2	0	0
rus_100_200_3_1	DBN	1094	2	0	0
rus_100_200_3_3	DBN	1094	2	0	0
rus_100_200_4_3	DBN	1094	2	0	0
rus_100_200_5_3	DBN	1094	2	0	0
rus_100_200_6_1	DBN	1094	2	0	0
rus_100_200_7_1	DBN	1094	2	0	0
rus_20_40_0_1	DBN	854	2	0	0
rus_20_40_0_2	DBN	854	2	0	0
rus_20_40_0_3	DBN	854	2	0	0
rus_20_40_1_1	DBN	854	2	0	0
rus_20_40_1_2	DBN	854	2	0	0
rus_20_40_1_3	DBN	854	2	0	0
rus_20_40_2_1	DBN	854	2	0	0
rus_20_40_2_2	DBN	854	2	0	0
rus_20_40_2_3	DBN	854	2	0	0
rus_20_40_3_1	DBN	854	2	0	0
rus_20_40_3_2	DBN	854	2	0	0
rus_20_40_3_3	DBN	854	2	0	0
rus_20_40_4_1	DBN	854	2	0	0
rus_20_40_4_2	DBN	854	2	0	0
rus_20_40_4_3	DBN	854	2	0	0
rus_20_40_5_1	DBN	854	2	0	0
rus_20_40_5_2	DBN	854	2	0	0
rus_20_40_5_3	DBN	854	2	0	0
rus_20_40_6_1	DBN	854	2	0	0
rus_20_40_6_2	DBN	854	2	0	0
rus_20_40_6_3	DBN	854	2	0	0
rus_20_40_7_1	DBN	854	2	0	0
rus_20_40_7_2	DBN	854	2	0	0
rus_20_40_7_3	DBN	854	2	0	0
rus_20_40_8_1	DBN	854	2	0	0
rus_20_40_8_2	DBN	854	2	0	0
rus_20_40_8_3	DBN	854	2	0	0
rus_20_40_9_1	DBN	854	2	0	0
rus_20_40_9_2	DBN	854	2	0	0
rus_20_40_9_3	DBN	854	2	0	0
rus2_100_200_0_1	DBN	1094	2	0	0
rus2_100_200_1_1	DBN	1094	2	0	0
rus2_100_200_3_1	DBN	1094	2	0	0
rus2_100_200_3_3	DBN	1094	2	0	0
rus2_100_200_5_1	DBN	1094	2	0	0
rus2_100_200_5_2	DBN	1094	2	0	0
rus2_100_200_6_3	DBN	1094	2	0	0
rus2_100_200_7_1	DBN	1094	2	0	0
rus2_100_200_8_1	DBN	1094	2	0	0
rus2_100_200_9_1	DBN	1094	2	0	0
rus2_20_40_0_1	DBN	854	2	0	0
rus2_20_40_0_2	DBN	854	2	0	0
rus2_20_40_0_3	DBN	854	2	0	0
rus2_20_40_1_1	DBN	854	2	0	0
rus2_20_40_1_2	DBN	854	2	0	0
rus2_20_40_1_3	DBN	854	2	0	0
rus2_20_40_2_1	DBN	854	2	0	0
rus2_20_40_2_2	DBN	854	2	0	0
rus2_20_40_2_3	DBN	854	2	0	0
rus2_20_40_3_1	DBN	854	2	0	0
rus2_20_40_3_2	DBN	854	2	0	0
rus2_20_40_3_3	DBN	854	2	0	0
rus2_20_40_4_1	DBN	854	2	0	0
rus2_20_40_4_2	DBN	854	2	0	0
rus2_20_40_4_3	DBN	854	2	0	0
rus2_20_40_5_1	DBN	854	2	0	0
rus2_20_40_5_2	DBN	854	2	0	0
rus2_20_40_5_3	DBN	854	2	0	0
rus2_20_40_6_1	DBN	854	2	0	0
rus2_20_40_6_2	DBN	854	2	0	0
rus2_20_40_6_3	DBN	854	2	0	0
rus2_20_40_7_1	DBN	854	2	0	0
rus2_20_40_7_2	DBN	854	2	0	0
rus2_20_40_7_3	DBN	854	2	0	0
rus2_20_40_8_1	DBN	854	2	0	0
rus2_20_40_8_2	DBN	854	2	0	0
rus2_20_40_8_3	DBN	854	2	0	0
rus2_20_40_9_1	DBN	854	2	0	0
rus2_20_40_9_2	DBN	854	2	0	0
rus2_20_40_9_3	DBN	854	2	0	0
rus2_50_100_0_2	DBN	944	2	0	0
rus2_50_100_0_3	DBN	944	2	0	0
rus2_50_100_1_1	DBN	944	2	0	0
rus2_50_100_1_3	DBN	944	2	0	0
rus2_50_100_2_1	DBN	944	2	0	0
rus2_50_100_3_1	DBN	944	2	0	0
rus2_50_100_3_2	DBN	944	2	0	0
rus2_50_100_4_1	DBN	944	2	0	0
rus2_50_100_4_2	DBN	944	2	0	0
rus2_50_100_5_1	DBN	944	2	0	0
rus2_50_100_5_2	DBN	944	2	0	0
rus2_50_100_6_1	DBN	944	2	0	0
rus2_50_100_6_2	DBN	944	2	0	0
rus2_50_100_6_3	DBN	944	2	0	0
rus2_50_100_7_1	DBN	944	2	0	0
rus2_50_100_7_2	DBN	944	2	0	0
rus2_50_100_7_3	DBN	944	2	0	0
rus2_50_100_8_1	DBN	944	2	0	0
rus2_50_100_9_3	DBN	944	2	0	0
rus_50_100_2_3	DBN	944	2	0	0
rus_50_100_3_1	DBN	944	2	0	0
rus_50_100_3_2	DBN	944	2	0	0
rus_50_100_4_1	DBN	944	2	0	0
rus_50_100_4_3	DBN	944	2	0	0
rus_50_100_6_1	DBN	944	2	0	0
rus_50_100_6_2	DBN	944	2	0	0
rus_50_100_7_1	DBN	944	2	0	0
rus_50_100_7_2	DBN	944	2	0	0
rus_50_100_8_1	DBN	944	2	0	0
rus_50_100_9_3	DBN	944	2	0	0
grid20x20.f10	Grid	400	2	0	0
grid20x20.f10.wrap	Grid	400	2	0	0
grid20x20.f15	Grid	400	2	0	0
grid20x20.f15.wrap	Grid	400	2	0	0
grid20x20.f5.wrap	Grid	400	2	0	0
grid40x40.f10	Grid	1600	2	0	0
grid40x40.f10.wrap	Grid	1600	2	0	0
grid40x40.f15	Grid	1600	2	0	0
grid40x40.f15.wrap	Grid	1600	2	0	0
grid40x40.f2	Grid	1600	2	0	0
grid40x40.f2.wrap	Grid	1600	2	0	0
grid40x40.f5	Grid	1600	2	0	0
grid40x40.f5.wrap	Grid	1600	2	0	0
grid80x80.f10	Grid	6400	2	0	0
grid80x80.f10.wrap	Grid	6400	2	0	0
grid80x80.f15	Grid	6400	2	0	0
grid80x80.f15.wrap	Grid	6400	2	0	0
grid80x80.f2	Grid	6400	2	0	0
grid80x80.f2.wrap	Grid	6400	2	0	0
grid80x80.f5	Grid	6400	2	0	0
grid80x80.f5.wrap	Grid	6400	2	0	0
10_14_s.binary	Segmentation	231	2	0	0
10_16_s.binary	Segmentation	233	2	0	0
11_17_s.binary	Segmentation	228	2	0	0
11_3_s.binary	Segmentation	232	2	0	0
11_4_s.binary	Segmentation	230	2	0	0
12_15_s.binary	Segmentation	231	2	0	0
12_20_s.binary	Segmentation	230	2	0	0
12_4_s.binary	Segmentation	224	2	0	0
1_28_s.binary	Segmentation	230	2	0	0
13_14_s.binary	Segmentation	221	2	0	0
13_30_s.binary	Segmentation	227	2	0	0
13_9_s.binary	Segmentation	228	2	0	0
14_26_s.binary	Segmentation	228	2	0	0
14_30_s.binary	Segmentation	228	2	0	0
15_3_s.binary	Segmentation	231	2	0	0
16_16_s.binary	Segmentation	226	2	0	0
16_18_s.binary	Segmentation	232	2	0	0
17_4_s.binary	Segmentation	231	2	0	0
18_10_s.binary	Segmentation	225	2	0	0
18_11_s.binary	Segmentation	222	2	0	0
18_1_s.binary	Segmentation	225	2	0	0
18_21_s.binary	Segmentation	231	2	0	0
18_30_s.binary	Segmentation	229	2	0	0
19_12_s.binary	Segmentation	233	2	0	0
19_20_s.binary	Segmentation	232	2	0	0
19_25_s.binary	Segmentation	228	2	0	0
19_4_s.binary	Segmentation	230	2	0	0
20_12_s.binary	Segmentation	227	2	0	0
20_5_s.binary	Segmentation	232	2	0	0
20_9_s.binary	Segmentation	231	2	0	0
2_17_s.binary	Segmentation	228	2	0	0
2_28_s.binary	Segmentation	229	2	0	0
2_2_s.binary	Segmentation	227	2	0	0
3_16_s.binary	Segmentation	229	2	0	0
3_20_s.binary	Segmentation	232	2	0	0
4_24_s.binary	Segmentation	228	2	0	0
4_30_s.binary	Segmentation	229	2	0	0
5_3_s.binary	Segmentation	225	2	0	0
6_23_s.binary	Segmentation	237	2	0	0
6_3_s.binary	Segmentation	231	2	0	0
7_11_s.binary	Segmentation	235	2	0	0
7_12_s.binary	Segmentation	233	2	0	0
7_15_s.binary	Segmentation	231	2	0	0
7_29_s.binary	Segmentation	229	2	0	0
7_9_s.binary	Segmentation	233	2	0	0
8_18_s.binary	Segmentation	226	2	0	0
8_25_s.binary	Segmentation	223	2	0	0
8_8_s.binary	Segmentation	224	2	0	0
9_10_s.binary	Segmentation	230	2	0	0
9_24_s.binary	Segmentation	232	2	0	0
ped2.B.recomb1-0.01-1	Haplotyping	168151	579	483	476
ped2.B.recomb1-0.01-2	Haplotyping	169735	579	492	482
ped2.B.recomb1-0.01-3	Haplotyping	169018	579	490	482
ped2.B.recomb1-0.01-4	Haplotyping	168236	579	478	468
ped2.B.recomb1-0.01-5	Haplotyping	168514	580	486	478
ped2.B.recomb1-0.10-10	Haplotyping	171862	579	527	519
ped2.B.recomb1-0.10-6	Haplotyping	171591	579	523	512
ped2.B.recomb1-0.10-7	Haplotyping	171378	579	528	518
ped2.B.recomb1-0.10-8	Haplotyping	171525	579	522	512
ped2.B.recomb1-0.10-9	Haplotyping	171883	579	526	517
ped2.B.recomb1-0.20-11	Haplotyping	172729	579	539	530
ped2.B.recomb1-0.20-12	Haplotyping	172671	580	540	531
ped2.B.recomb1-0.20-13	Haplotyping	173198	579	549	540
ped2.B.recomb1-0.20-14	Haplotyping	172723	580	538	528
ped2.B.recomb1-0.20-15	Haplotyping	172830	579	544	535
ped2.G.recomb10-0.01-1	Haplotyping	207876	579	517	507
ped2.G.recomb10-0.01-2	Haplotyping	208409	579	524	516
ped2.G.recomb10-0.01-3	Haplotyping	208782	579	517	509
ped2.G.recomb10-0.01-4	Haplotyping	208016	579	515	506
ped2.G.recomb10-0.01-5	Haplotyping	208271	579	520	513
ped2.G.recomb10-0.10-10	Haplotyping	211356	579	544	537
ped2.G.recomb10-0.10-6	Haplotyping	211596	579	540	532
ped2.G.recomb10-0.10-7	Haplotyping	211110	579	553	543
ped2.G.recomb10-0.10-8	Haplotyping	211991	579	548	538
ped2.G.recomb10-0.10-9	Haplotyping	211564	579	548	538
ped2.G.recomb1-0.01-1	Haplotyping	208173	579	535	525
ped2.G.recomb1-0.01-2	Haplotyping	208001	580	529	521
ped2.G.recomb1-0.01-3	Haplotyping	208528	579	535	527
ped2.G.recomb1-0.01-4	Haplotyping	208193	579	543	534
ped2.G.recomb1-0.01-5	Haplotyping	208642	579	535	526
ped2.G.recomb10-0.20-11	Haplotyping	213655	579	556	547
ped2.G.recomb10-0.20-12	Haplotyping	214302	579	552	544
ped2.G.recomb10-0.20-13	Haplotyping	215039	579	550	542
ped2.G.recomb10-0.20-14	Haplotyping	214997	579	555	546
ped2.G.recomb10-0.20-15	Haplotyping	214821	579	559	553
ped2.G.recomb1-0.10-10	Haplotyping	213118	579	560	550
ped2.G.recomb1-0.10-6	Haplotyping	211746	579	558	550
ped2.G.recomb1-0.10-7	Haplotyping	212823	579	559	552
ped2.G.recomb1-0.10-8	Haplotyping	212006	579	561	551
ped2.G.recomb1-0.10-9	Haplotyping	212398	579	560	553
ped2.G.recomb1-0.20-11	Haplotyping	214066	579	565	555
ped2.G.recomb1-0.20-12	Haplotyping	214813	579	563	556
ped2.G.recomb1-0.20-13	Haplotyping	216117	579	563	553
ped2.G.recomb1-0.20-14	Haplotyping	214550	579	567	557
ped2.G.recomb1-0.20-15	Haplotyping	214438	579	563	553
ped2.G.recomb5-0.01-1	Haplotyping	208381	579	529	522
ped2.G.recomb5-0.01-2	Haplotyping	208141	579	537	531
ped2.G.recomb5-0.01-3	Haplotyping	208501	579	520	514
ped2.G.recomb5-0.01-4	Haplotyping	208233	579	531	521
ped2.G.recomb5-0.01-5	Haplotyping	208489	579	524	518
ped2.G.recomb5-0.10-10	Haplotyping	212787	579	551	542
ped2.G.recomb5-0.10-6	Haplotyping	212211	579	543	536
ped2.G.recomb5-0.10-7	Haplotyping	212648	579	558	550
ped2.G.recomb5-0.10-8	Haplotyping	212735	579	561	552
ped2.G.recomb5-0.10-9	Haplotyping	212153	579	554	546
ped2.G.recomb5-0.20-11	Haplotyping	214355	579	563	552
ped2.G.recomb5-0.20-12	Haplotyping	215887	579	565	555
ped2.G.recomb5-0.20-13	Haplotyping	215064	579	562	553
ped2.G.recomb5-0.20-14	Haplotyping	215135	580	563	553
ped2.G.recomb5-0.20-15	Haplotyping	214926	580	551	541
ped3.D.recomb10-0.20-11	Haplotyping	62688	339	319	309
ped3.D.recomb10-0.20-12	Haplotyping	62161	339	308	301
ped3.D.recomb10-0.20-13	Haplotyping	62963	339	320	311
ped3.D.recomb10-0.20-14	Haplotyping	62815	340	322	312
ped3.D.recomb10-0.20-15	Haplotyping	62483	339	312	303
ped3.E.recomb10-0.20-11	Haplotyping	73150	340	329	320
ped3.E.recomb10-0.20-12	Haplotyping	73055	339	327	318
ped3.E.recomb10-0.20-13	Haplotyping	73373	339	323	314
ped3.E.recomb10-0.20-14	Haplotyping	72595	340	328	320
ped3.E.recomb10-0.20-15	Haplotyping	73405	339	327	317
ped3.F.recomb10-0.01-1	Haplotyping	67977	339	299	290
ped3.F.recomb10-0.01-2	Haplotyping	67907	339	292	287
ped3.F.recomb10-0.01-3	Haplotyping	68211	339	301	294
ped3.F.recomb10-0.01-4	Haplotyping	68088	339	305	295
ped3.F.recomb10-0.01-5	Haplotyping	68280	339	305	296
ped3.F.recomb10-0.10-10	Haplotyping	70149	339	325	316
ped3.F.recomb10-0.10-6	Haplotyping	69941	339	316	311
ped3.F.recomb10-0.10-7	Haplotyping	69681	340	321	311
ped3.F.recomb10-0.10-8	Haplotyping	69731	339	324	316
