instance	family	nvars	n_dom1	n_dom2	other_domains	real_vars
rus2_20_40_1_1	DBN	854	690	164	none	164
rus2_50_100_6_2	DBN	944	653	291	none	291
rus2_50_100_6_3	DBN	944	661	283	none	283
rus2_20_40_7_1	DBN	854	698	156	none	156
rus2_20_40_7_2	DBN	854	709	145	none	145
rus2_100_200_0_1	DBN	1094	639	455	none	455
rus2_100_200_1_1	DBN	1094	690	404	none	404
rus2_100_200_3_3	DBN	1094	658	436	none	436
rus2_100_200_7_1	DBN	1094	698	396	none	396
rus2_20_40_2_2	DBN	854	620	234	none	234
rus2_50_100_0_3	DBN	944	622	322	none	322
rus_20_40_3_3	DBN	854	672	182	none	182
rus2_20_40_9_2	DBN	854	690	164	none	164
rus_20_40_5_2	DBN	854	643	211	none	211
rus2_100_200_9_1	DBN	1094	717	377	none	377
rus2_20_40_0_1	DBN	854	639	215	none	215
rus2_20_40_8_2	DBN	854	650	204	none	204
rus_20_40_4_2	DBN	854	685	169	none	169
rus_100_200_6_1	DBN	1094	663	431	none	431
rus_20_40_6_2	DBN	854	694	160	none	160
rus2_20_40_5_1	DBN	854	690	164	none	164
rus2_20_40_5_2	DBN	854	711	143	none	143
rus_20_40_8_1	DBN	854	647	207	none	207
rus_20_40_8_2	DBN	854	687	167	none	167
rus2_20_40_6_1	DBN	854	633	221	none	221
rus_20_40_2_3	DBN	854	645	209	none	209
rus_100_200_1_1	DBN	1094	726	368	none	368
rus2_50_100_7_2	DBN	944	709	235	none	235
rus2_50_100_2_1	DBN	944	647	297	none	297
rus_20_40_7_1	DBN	854	676	178	none	178
rus_20_40_7_2	DBN	854	653	201	none	201
rus2_20_40_4_2	DBN	854	612	242	none	242
rus2_50_100_5_2	DBN	944	711	233	none	233
rus2_20_40_7_3	DBN	854	702	152	none	152
ped3.G.recomb10-0.20-14	Haplotyping	83297	988	82309	none	82309
ped3.G.recomb10-0.20-15	Haplotyping	83622	1012	82610	none	82610
ped2.G.recomb5-0.10-9	Haplotyping	212153	1522	210631	none	210631
ped3.F.recomb10-0.10-9	Haplotyping	70131	554	69577	none	69577
ped3.F.recomb10-0.20-11	Haplotyping	70483	586	69897	none	69897
ped2.G.recomb1-0.20-11	Haplotyping	214066	1836	212230	none	212230
ped2.G.recomb1-0.20-12	Haplotyping	214813	1842	212971	none	212971
ped2.G.recomb1-0.20-13	Haplotyping	216117	1755	214362	none	214362
ped3.G.recomb10-0.20-11	Haplotyping	83113	1080	82033	none	82033
ped2.B.recomb1-0.20-13	Haplotyping	173198	301	172897	none	172897
ped2.B.recomb1-0.20-14	Haplotyping	172723	292	172431	none	172431
ped2.B.recomb1-0.20-15	Haplotyping	172830	272	172558	none	172558
ped3.D.recomb10-0.20-13	Haplotyping	62963	187	62776	none	62776
ped3.D.recomb10-0.20-14	Haplotyping	62815	245	62570	none	62570
ped3.D.recomb10-0.20-15	Haplotyping	62483	237	62246	none	62246
ped2.G.recomb10-0.20-12	Haplotyping	214302	1851	212451	none	212451
ped2.G.recomb10-0.20-13	Haplotyping	215039	1891	213148	none	213148
ped2.G.recomb10-0.20-14	Haplotyping	214997	1853	213144	none	213144
ped3.G.recomb10-0.01-3	Haplotyping	80211	714	79497	none	79497
ped3.G.recomb10-0.01-4	Haplotyping	79993	555	79438	none	79438
ped3.E.recomb10-0.20-14	Haplotyping	72595	581	72014	none	72014
ped3.E.recomb10-0.20-15	Haplotyping	73405	646	72759	none	72759
ped2.G.recomb10-0.01-5	Haplotyping	208271	1058	207213	none	207213
ped2.G.recomb10-0.10-10	Haplotyping	211356	1553	209803	none	209803
ped2.G.recomb1-0.10-10	Haplotyping	213118	1540	211578	none	211578
ped2.G.recomb5-0.01-4	Haplotyping	208233	1100	207133	none	207133
ped2.G.recomb5-0.01-5	Haplotyping	208489	967	207522	none	207522
ped2.G.recomb5-0.10-10	Haplotyping	212787	1434	211353	none	211353
ped2.B.recomb1-0.10-6	Haplotyping	171591	255	171336	none	171336
ped3.G.recomb10-0.10-8	Haplotyping	81524	920	80604	none	80604
ped3.G.recomb10-0.10-9	Haplotyping	82070	742	81328	none	81328
ped2.G.recomb5-0.20-13	Haplotyping	215064	1912	213152	none	213152
ped2.G.recomb5-0.20-14	Haplotyping	215135	1866	213269	none	213269
ped3.F.recomb10-0.20-14	Haplotyping	70162	584	69578	none	69578
ped3.F.recomb10-0.20-15	Haplotyping	70364	663	69701	none	69701
ped2.G.recomb10-0.10-9	Haplotyping	211564	1437	210127	none	210127
ped2.G.recomb10-0.20-11	Haplotyping	213655	1763	211892	none	211892
ped3.F.recomb10-0.01-3	Haplotyping	68211	442	67769	none	67769
ped3.F.recomb10-0.01-4	Haplotyping	68088	429	67659	none	67659
ped2.G.recomb1-0.10-8	Haplotyping	212006	1391	210615	none	210615
ped2.G.recomb1-0.10-9	Haplotyping	212398	1568	210830	none	210830
ped2.G.recomb10-0.01-1	Haplotyping	207876	768	207108	none	207108
ped2.G.recomb10-0.01-2	Haplotyping	208409	871	207538	none	207538
ped2.G.recomb5-0.01-2	Haplotyping	208141	1132	207009	none	207009
ped2.G.recomb5-0.01-3	Haplotyping	208501	968	207533	none	207533
ped3.E.recomb10-0.20-11	Haplotyping	73150	687	72463	none	72463
ped3.E.recomb10-0.20-12	Haplotyping	73055	607	72448	none	72448
ped3.E.recomb10-0.20-13	Haplotyping	73373	634	72739	none	72739
ped2.B.recomb1-0.10-7	Haplotyping	171378	255	171123	none	171123
ped2.B.recomb1-0.10-8	Haplotyping	171525	269	171256	none	171256
ped2.B.recomb1-0.10-9	Haplotyping	171883	265	171618	none	171618
ped2.B.recomb1-0.01-1	Haplotyping	168151	251	167900	none	167900
ped2.B.recomb1-0.01-2	Haplotyping	169735	238	169497	none	169497
ped2.B.recomb1-0.01-3	Haplotyping	169018	227	168791	none	168791
ped2.G.recomb1-0.01-1	Haplotyping	208173	1004	207169	none	207169
ped2.G.recomb1-0.01-2	Haplotyping	208001	946	207055	none	207055
ped2.G.recomb1-0.01-3	Haplotyping	208528	1032	207496	none	207496
ped3.G.recomb10-0.10-6	Haplotyping	82089	886	81203	none	81203
ped3.G.recomb10-0.10-7	Haplotyping	82096	899	81197	none	81197
ped2.B.recomb1-0.10-10	Haplotyping	171862	287	171575	none	171575
ped2.G.recomb10-0.10-6	Haplotyping	211596	1556	210040	none	210040
ped2.G.recomb10-0.10-7	Haplotyping	211110	1550	209560	none	209560
ped2.G.recomb10-0.10-8	Haplotyping	211991	1551	210440	none	210440
ped3.F.recomb10-0.10-6	Haplotyping	69941	531	69410	none	69410
ped3.F.recomb10-0.10-7	Haplotyping	69681	582	69099	none	69099
ped3.F.recomb10-0.10-8	Haplotyping	69731	474	69257	none	69257
ped3.D.recomb10-0.20-11	Haplotyping	62688	236	62452	none	62452
ped3.D.recomb10-0.20-12	Haplotyping	62161	248	61913	none	61913
ped2.G.recomb5-0.10-6	Haplotyping	212211	1595	210616	none	210616
ped2.G.recomb5-0.10-7	Haplotyping	212648	1490	211158	none	211158
ped2.G.recomb5-0.10-8	Haplotyping	212735	1488	211247	none	211247
ped3.G.recomb10-0.20-12	Haplotyping	83617	1103	82514	none	82514
ped3.G.recomb10-0.20-13	Haplotyping	83000	1123	81877	none	81877
ped2.B.recomb1-0.20-11	Haplotyping	172729	327	172402	none	172402
ped2.B.recomb1-0.20-12	Haplotyping	172671	296	172375	none	172375
ped3.F.recomb10-0.01-5	Haplotyping	68280	419	67861	none	67861
ped3.F.recomb10-0.10-10	Haplotyping	70149	579	69570	none	69570
ped2.B.recomb1-0.01-4	Haplotyping	168236	207	168029	none	168029
ped2.B.recomb1-0.01-5	Haplotyping	168514	236	168278	none	168278
ped3.G.recomb10-0.01-1	Haplotyping	80098	531	79567	none	79567
ped3.G.recomb10-0.01-2	Haplotyping	79938	725	79213	none	79213
ped2.G.recomb10-0.01-3	Haplotyping	208782	1046	207736	none	207736
ped2.G.recomb10-0.01-4	Haplotyping	208016	1099	206917	none	206917
ped2.G.recomb1-0.20-14	Haplotyping	214550	1895	212655	none	212655
ped2.G.recomb1-0.20-15	Haplotyping	214438	1924	212514	none	212514
ped3.F.recomb10-0.01-1	Haplotyping	67977	428	67549	none	67549
ped3.F.recomb10-0.01-2	Haplotyping	67907	378	67529	none	67529
ped3.F.recomb10-0.20-12	Haplotyping	70317	497	69820	none	69820
ped3.F.recomb10-0.20-13	Haplotyping	70672	552	70120	none	70120
ped2.G.recomb10-0.20-15	Haplotyping	214821	1801	213020	none	213020
ped2.G.recomb5-0.01-1	Haplotyping	208381	828	207553	none	207553
ped3.G.recomb10-0.01-5	Haplotyping	79975	645	79330	none	79330
ped3.G.recomb10-0.10-10	Haplotyping	82301	934	81367	none	81367
ped2.G.recomb1-0.10-6	Haplotyping	211746	1445	210301	none	210301
ped2.G.recomb1-0.10-7	Haplotyping	212823	1370	211453	none	211453
ped2.G.recomb5-0.20-12	Haplotyping	215887	1815	214072	none	214072
ped2.G.recomb5-0.20-11	Haplotyping	214355	1846	212509	none	212509
ped2.G.recomb5-0.20-15	Haplotyping	214926	1844	213082	none	213082
ped2.G.recomb1-0.01-4	Haplotyping	208193	948	207245	none	207245
ped2.G.recomb1-0.01-5	Haplotyping	208642	1165	207477	none	207477
normalized-mps-v2-20-10-sentoy.opb.msat	MIPLib	13262	221	13041	none	13041
normalized-mps-v2-20-10-mod008.opb.msat	MIPLib	10309	28	10281	none	10281
normalized-mps-v2-20-10-p0040.opb.msat	MIPLib	123	2	121	none	121
normalized-mps-v2-20-10-l152lav.opb.msat	MIPLib	24570	20	24550	none	24550
normalized-mps-v2-20-10-lp4l.opb.msat	MIPLib	10516	27	10489	none	10489
normalized-mps-v2-20-10-bm23.opb.msat	MIPLib	8642	20	8622	none	8622
normalized-mps-v2-20-10-cracpb1.opb.msat	MIPLib	17336	302	17034	none	17034
normalized-mps-v2-20-10-p0201.opb.msat	MIPLib	4746	39	4707	none	4707
normalized-mps-v2-20-10-p0548.opb.msat	MIPLib	5519	117	5402	none	5402
normalized-mps-v2-20-10-lseu.opb.msat	MIPLib	5931	16	5915	none	5915
normalized-mps-v2-20-10-mod010.opb.msat	MIPLib	24776	17	24759	none	24759
normalized-mps-v2-20-10-p0033.opb.msat	MIPLib	548	15	533	none	533
rand981_l2	PackupWeighted	19660	1504	18156	none	18156
rand984_l1	PackupWeighted	4695	30	4665	none	4665
rand984_l2	PackupWeighted	21389	2289	19100	none	19100
dba3a3fe-3477-11e0-9e6c-00163e3d3b7c_l1	PackupWeighted	8896	141	8755	none	8755
dba3a3fe-3477-11e0-9e6c-00163e3d3b7c_l2	PackupWeighted	10821	158	10663	none	10663
5698a62c-c731-11df-9bb9-00163e3d3b7c_l1	PackupWeighted	1458	1	1457	none	1457
56ae4afa-0b33-11df-8a2b-00163e1d94dc_l1	PackupWeighted	2251	220	2031	none	2031
rand116_l2	PackupWeighted	20091	1946	18145	none	18145
rand118_l2	PackupWeighted	20411	2329	18082	none	18082
rand131_l2	PackupWeighted	20955	1596	19359	none	19359
rand213_l2	PackupWeighted	12894	2098	10796	none	10796
rand308_l2	PackupWeighted	13182	1140	12042	none	12042
rand377_l2	PackupWeighted	13601	1099	12502	none	12502
rand393_l1	PackupWeighted	1879	9	1870	none	1870
rand892_l1	PackupWeighted	2332	16	2316	none	2316
ab9005be-bacc-11e0-b0f6-00163e1e087d_l2	PackupWeighted	22337	542	21795	none	21795
b2540c52-51b7-11e0-aa4f-00163e1e087d_l1	PackupWeighted	1087	3	1084	none	1084
rand583_l2	PackupWeighted	12880	2069	10811	none	10811
rand653_l2	PackupWeighted	13264	1425	11839	none	11839
rand695_l1	PackupWeighted	2030	40	1990	none	1990
rand717_l2	PackupWeighted	20877	1379	19498	none	19498
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l2	PackupWeighted	25554	2262	23292	none	23292
ec32fc68-7254-11e0-8436-00163e1e087d_l1	PackupWeighted	9075	303	8772	none	8772
caefdef6-3477-11e0-84ef-00163e3d3b7c_l2	PackupWeighted	10821	158	10663	none	10663
cff22854-9512-11e0-8001-00163e1e087d_l2	PackupWeighted	7020	314	6706	none	6706
80e3fda2-9501-11e0-8001-00163e1e087d_l2	PackupWeighted	7020	314	6706	none	6706
8222799a-9af8-11df-8b50-00163e46d37a_l1	PackupWeighted	7341	378	6963	none	6963
8222799a-9af8-11df-8b50-00163e46d37a_l2	PackupWeighted	8311	378	7933	none	7933
4a69cf16-c731-11df-9182-00163e3d3b7c_l1	PackupWeighted	1458	1	1457	none	1457
4a69cf16-c731-11df-9182-00163e3d3b7c_l2	PackupWeighted	24995	292	24703	none	24703
rand293_l1	PackupWeighted	7246	69	7177	none	7177
rand307_l2	PackupWeighted	12825	2040	10785	none	10785
d023d256-3477-11e0-bdb2-00163e3d3b7c_l1	PackupWeighted	8896	141	8755	none	8755
d023d256-3477-11e0-bdb2-00163e3d3b7c_l2	PackupWeighted	10821	158	10663	none	10663
d0cc7514-c730-11df-a040-00163e3d3b7c_l1	PackupWeighted	1458	1	1457	none	1457
rand869_l1	PackupWeighted	5018	18	5000	none	5000
rand874_l1	PackupWeighted	6155	2	6153	none	6153
rand381_l1	PackupWeighted	1711	91	1620	none	1620
7bf50d1c-9b1b-11df-8b50-00163e46d37a_l2	PackupWeighted	8313	378	7935	none	7935
7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l1	PackupWeighted	1093	3	1090	none	1090
e0bd67a6-56d0-11df-b11f-00163e7a6f5e_l2	PackupWeighted	8151	65	8086	none	8086
bccf69ae-db9e-11df-9a24-00163e3d3b7c_l1	PackupWeighted	10165	127	10038	none	10038
c2164c84-b015-11df-8b50-00163e46d37a_l1	PackupWeighted	7272	264	7008	none	7008
c2164c84-b015-11df-8b50-00163e46d37a_l2	PackupWeighted	9264	307	8957	none	8957
rand196_l1	PackupWeighted	4953	41	4912	none	4912
rand196_l2	PackupWeighted	19818	700	19118	none	19118
26f3d4cc-d470-11df-9e6c-00163e3d3b7c_l2	PackupWeighted	21574	748	20826	none	20826
29180036-5408-11df-9f57-00163e7a6f5e_l1	PackupWeighted	7076	54	7022	none	7022
8b0e7c16-bab4-11e0-a883-00163e1e087d_l2	PackupWeighted	22337	542	21795	none	21795
eeee44ce-5407-11df-b11f-00163e7a6f5e_l2	PackupWeighted	8582	57	8525	none	8525
f4ebf9e0-360e-11e0-9e6c-00163e3d3b7c_l1	PackupWeighted	8888	267	8621	none	8621
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l1	PackupWeighted	18497	1443	17054	none	17054
3e4f8550-0b33-11df-942d-00163e1d94dc_l1	PackupWeighted	2251	4	2247	none	2247
rand446_l1	PackupWeighted	3142	12	3130	none	3130
rand491_l2	PackupWeighted	19835	1583	18252	none	18252
rand892_l2	PackupWeighted	13295	678	12617	none	12617
rand929_l2	PackupWeighted	12932	1360	11572	none	11572
rand954_l1	PackupWeighted	2847	87	2760	none	2760
d5026b8e-3477-11e0-986e-00163e3d3b7c_l1	PackupWeighted	8896	141	8755	none	8755
e2f6303a-4fe9-11e0-aa4f-00163e1e087d_l1	PackupWeighted	1093	3	1090	none	1090
e381ba7e-a192-11e0-8647-00163e1e087d_l2	PackupWeighted	7020	314	6706	none	6706
e599f3fc-360e-11e0-986e-00163e3d3b7c_l1	PackupWeighted	8888	267	8621	none	8621
ca8f656c-db9e-11df-b9cf-00163e3d3b7c_l2	PackupWeighted	12140	127	12013	none	12013
caefdef6-3477-11e0-84ef-00163e3d3b7c_l1	PackupWeighted	8896	141	8755	none	8755
8680dd8a-8600-11e0-b285-00163e1e087d_l2	PackupWeighted	20150	261	19889	none	19889
8afdd89e-51b8-11e0-acd7-00163e1e087d_l1	PackupWeighted	1087	3	1084	none	1084
rand208_l1	PackupWeighted	6385	175	6210	none	6210
rand208_l2	PackupWeighted	19895	1606	18289	none	18289
a754ac72-95cc-11e0-9181-00163e1e087d_l2	PackupWeighted	7020	314	6706	none	6706
ab9005be-bacc-11e0-b0f6-00163e1e087d_l1	PackupWeighted	491	7	484	none	484
7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l2	PackupWeighted	14035	201	13834	none	13834
80cfe9a6-9b1b-11df-965e-00163e46d37a_l1	PackupWeighted	7343	378	6965	none	6965
rand752_l1	PackupWeighted	5024	14	5010	none	5010
rand83_l1	PackupWeighted	4264	106	4158	none	4158
rand83_l2	PackupWeighted	19670	1621	18049	none	18049
103c9978-5408-11df-9bc1-00163e7a6f5e_l1	PackupWeighted	7076	54	7022	none	7022
1aabfc32-d491-11df-9a24-00163e3d3b7c_l2	PackupWeighted	22590	550	22040	none	22040
rand507_l1	PackupWeighted	3087	79	3008	none	3008
rand507_l2	PackupWeighted	13240	695	12545	none	12545
rand547_l2	PackupWeighted	20220	2012	18208	none	18208
fa3d0fb2-db9e-11df-a0ec-00163e3d3b7c_l1	PackupWeighted	10165	127	10038	none	10038
ff4a1d84-d490-11df-9e6c-00163e3d3b7c_l1	PackupWeighted	1122	10	1112	none	1112
eeee44ce-5407-11df-b11f-00163e7a6f5e_l1	PackupWeighted	7076	54	7022	none	7022
3e4f8550-0b33-11df-942d-00163e1d94dc_l2	PackupWeighted	2251	4	2247	none	2247
29180036-5408-11df-9f57-00163e7a6f5e_l2	PackupWeighted	8582	57	8525	none	8525
rand425_l1	PackupWeighted	6891	170	6721	none	6721
deb285a6-db9e-11df-8f4f-00163e3d3b7c_l2	PackupWeighted	12140	127	12013	none	12013
e0bd67a6-56d0-11df-b11f-00163e7a6f5e_l1	PackupWeighted	6635	64	6571	none	6571
rand220_l2	PackupWeighted	19976	1953	18023	none	18023
rand242_l1	PackupWeighted	3879	2	3877	none	3877
rand30_l1	PackupWeighted	5030	137	4893	none	4893
rand172_l1	PackupWeighted	5111	36	5075	none	5075
rand179_l1	PackupWeighted	5526	104	5422	none	5422
7bf50d1c-9b1b-11df-8b50-00163e46d37a_l1	PackupWeighted	7343	378	6965	none	6965
WCNF_trucks_p03	PlanningWithPref	25736	200	25536	none	25536
WCNF_trucks_p04	PlanningWithPref	46429	428	46001	none	46001
WCNF_trucks_p05	PlanningWithPref	69409	593	68816	none	68816
WCNF_pathways_p11	PlanningWithPref	6698	189	6509	none	6509
WCNF_pathways_p12	PlanningWithPref	10731	387	10344	none	10344
WCNF_storage_p02	PlanningWithPref	4217	424	3793	none	3793
WCNF_storage_p03	PlanningWithPref	6892	617	6275	none	6275
WCNF_pathways_p07	PlanningWithPref	10696	318	10378	none	10378
WCNF_pathways_p08	PlanningWithPref	12307	430	11877	none	11877
WCNF_pathways_p14	PlanningWithPref	9172	354	8818	none	8818
WCNF_storage_p04	PlanningWithPref	5100	437	4663	none	4663
WCNF_storage_p05	PlanningWithPref	16814	5317	11497	none	11497
WCNF_storage_p06	PlanningWithPref	19877	6502	13375	none	13375
WCNF_pathways_p16	PlanningWithPref	23858	684	23174	none	23174
WCNF_pathways_p17	PlanningWithPref	28062	695	27367	none	27367
WCNF_pathways_p18	PlanningWithPref	10946	384	10562	none	10562
WCNF_pathways_p03	PlanningWithPref	2497	64	2433	none	2433
WCNF_pathways_p04	PlanningWithPref	2999	78	2921	none	2921
WCNF_storage_p07	PlanningWithPref	36639	12749	23890	none	23890
WCNF_trucks_p01	PlanningWithPref	6681	116	6565	none	6565
WCNF_trucks_p02	PlanningWithPref	16880	422	16458	none	16458
WCNF_pathways_p09	PlanningWithPref	9029	258	8771	none	8771
WCNF_pathways_p10	PlanningWithPref	16015	512	15503	none	15503
WCNF_pathways_p20	PlanningWithPref	14507	493	14014	none	14014
WCNF_storage_p01	PlanningWithPref	507	73	434	none	434
WCNF_pathways_p05	PlanningWithPref	5233	185	5048	none	5048
WCNF_pathways_p06	PlanningWithPref	14267	428	13839	none	13839
WCNF_pathways_p01	PlanningWithPref	1006	29	977	none	977
WCNF_pathways_p02	PlanningWithPref	1549	48	1501	none	1501
test3	TimeTabling	65415	5695	59720	none	59720
test4	TimeTabling	69420	8224	61196	none	61196
comp09	TimeTabling	107448	11580	95868	none	95868
comp10	TimeTabling	149513	14000	135513	none	135513
comp16	TimeTabling	150222	12856	137366	none	137366
comp17	TimeTabling	146057	11360	134697	none	134697
comp04	TimeTabling	93497	20870	72627	none	72627
comp05	TimeTabling	34902	8631	26271	none	26271
comp06	TimeTabling	107670	15593	92077	none	92077
comp18	TimeTabling	41185	9800	31385	none	31385
comp19	TimeTabling	110890	9849	101041	none	101041
comp20	TimeTabling	118188	12119	106069	none	106069
comp21	TimeTabling	131373	19188	112185	none	112185
comp12	TimeTabling	83492	10922	72570	none	72570
comp13	TimeTabling	113012	13349	99663	none	99663
comp14	TimeTabling	114680	9942	104738	none	104738
comp15	TimeTabling	74178	8783	65395	none	65395
comp01	TimeTabling	13864	2052	11812	none	11812
comp02	TimeTabling	111869	10179	101690	none	101690
comp03	TimeTabling	74178	8783	65395	none	65395
dds1	TimeTabling	903884	100661	803223	none	803223
test1	TimeTabling	21022	2455	18567	none	18567
test2	TimeTabling	36375	6526	29849	none	29849
comp07	TimeTabling	216804	15414	201390	none	201390
comp08	TimeTabling	116948	19792	97156	none	97156
