relpath	collection	family	format	nvars	class	copied	bytes
evalgm/CFN/Auction/cat_paths_60_140_0005.wcsp	evalgm	Auction	wcsp	141	boolean	yes	79091
evalgm/CFN/Auction/cat_paths_60_140_0006.wcsp	evalgm	Auction	wcsp	141	boolean	yes	87774
evalgm/CFN/Auction/cat_paths_60_140_0007.wcsp	evalgm	Auction	wcsp	142	boolean	yes	66444
evalgm/CFN/Auction/cat_paths_60_150_0000.wcsp	evalgm	Auction	wcsp	150	boolean	yes	82792
evalgm/CFN/Auction/cat_paths_60_150_0001.wcsp	evalgm	Auction	wcsp	150	boolean	yes	99895
evalgm/CFN/Auction/cat_paths_60_150_0002.wcsp	evalgm	Auction	wcsp	150	boolean	yes	84986
evalgm/CFN/Auction/cat_paths_60_150_0003.wcsp	evalgm	Auction	wcsp	151	boolean	yes	82050
evalgm/CFN/Auction/cat_paths_60_150_0004.wcsp	evalgm	Auction	wcsp	152	boolean	yes	68665
evalgm/CFN/Auction/cat_paths_60_150_0005.wcsp	evalgm	Auction	wcsp	150	boolean	yes	89864
evalgm/CFN/Auction/cat_paths_60_150_0006.wcsp	evalgm	Auction	wcsp	154	boolean	yes	108940
evalgm/CFN/Auction/cat_paths_60_150_0007.wcsp	evalgm	Auction	wcsp	153	boolean	yes	101094
evalgm/CFN/Auction/cat_paths_60_160_0000.wcsp	evalgm	Auction	wcsp	160	boolean	yes	93158
evalgm/CFN/Auction/cat_paths_60_160_0001.wcsp	evalgm	Auction	wcsp	161	boolean	yes	96599
evalgm/CFN/Auction/cat_paths_60_160_0002.wcsp	evalgm	Auction	wcsp	162	boolean	yes	92479
evalgm/CFN/Auction/cat_paths_60_160_0003.wcsp	evalgm	Auction	wcsp	161	boolean	yes	98206
evalgm/CFN/Auction/cat_paths_60_160_0004.wcsp	evalgm	Auction	wcsp	160	boolean	yes	117938
evalgm/CFN/Auction/cat_paths_60_160_0005.wcsp	evalgm	Auction	wcsp	163	boolean	yes	92844
evalgm/CFN/Auction/cat_paths_60_160_0006.wcsp	evalgm	Auction	wcsp	164	boolean	yes	89098
evalgm/CFN/Auction/cat_paths_60_160_0007.wcsp	evalgm	Auction	wcsp	161	boolean	yes	88624
evalgm/CFN/Auction/cat_paths_60_170_0000.wcsp	evalgm	Auction	wcsp	170	boolean	yes	114192
evalgm/CFN/Auction/cat_paths_60_170_0003.wcsp	evalgm	Auction	wcsp	171	boolean	yes	123253
evalgm/CFN/Auction/cat_paths_60_170_0004.wcsp	evalgm	Auction	wcsp	171	boolean	yes	103301
evalgm/CFN/Auction/cat_paths_60_170_0005.wcsp	evalgm	Auction	wcsp	172	boolean	yes	84531
evalgm/CFN/Auction/cat_paths_60_170_0006.wcsp	evalgm	Auction	wcsp	171	boolean	yes	123043
evalgm/CFN/Auction/cat_paths_60_170_0007.wcsp	evalgm	Auction	wcsp	171	boolean	yes	115202
evalgm/CFN/Auction/cat_paths_60_70_0000.wcsp	evalgm	Auction	wcsp	70	boolean	yes	22818
evalgm/CFN/Auction/cat_paths_60_70_0001.wcsp	evalgm	Auction	wcsp	73	boolean	yes	14754
evalgm/CFN/Auction/cat_paths_60_70_0002.wcsp	evalgm	Auction	wcsp	70	boolean	yes	23248
evalgm/CFN/Auction/cat_paths_60_70_0003.wcsp	evalgm	Auction	wcsp	70	boolean	yes	20436
evalgm/CFN/Auction/cat_paths_60_70_0004.wcsp	evalgm	Auction	wcsp	70	boolean	yes	16557
evalgm/CFN/Auction/cat_paths_60_70_0005.wcsp	evalgm	Auction	wcsp	72	boolean	yes	22964
evalgm/CFN/Auction/cat_paths_60_70_0006.wcsp	evalgm	Auction	wcsp	71	boolean	yes	21422
evalgm/CFN/Auction/cat_paths_60_70_0007.wcsp	evalgm	Auction	wcsp	74	boolean	yes	20842
evalgm/CFN/Auction/cat_paths_60_80_0000.wcsp	evalgm	Auction	wcsp	80	boolean	yes	26492
evalgm/CFN/Auction/cat_paths_60_80_0001.wcsp	evalgm	Auction	wcsp	81	boolean	yes	23198
evalgm/CFN/Auction/cat_paths_60_80_0002.wcsp	evalgm	Auction	wcsp	81	boolean	yes	20800
evalgm/CFN/Auction/cat_paths_60_80_0003.wcsp	evalgm	Auction	wcsp	80	boolean	yes	23280
evalgm/CFN/Auction/cat_paths_60_80_0004.wcsp	evalgm	Auction	wcsp	80	boolean	yes	25789
evalgm/CFN/Auction/cat_paths_60_80_0005.wcsp	evalgm	Auction	wcsp	84	boolean	yes	36334
evalgm/CFN/Auction/cat_paths_60_80_0006.wcsp	evalgm	Auction	wcsp	82	boolean	yes	23974
evalgm/CFN/Auction/cat_paths_60_80_0007.wcsp	evalgm	Auction	wcsp	81	boolean	yes	25959
evalgm/CFN/Auction/cat_paths_60_90_0000.wcsp	evalgm	Auction	wcsp	90	boolean	yes	30226
evalgm/CFN/Auction/cat_paths_60_90_0001.wcsp	evalgm	Auction	wcsp	93	boolean	yes	30077
evalgm/CFN/Auction/cat_paths_60_90_0002.wcsp	evalgm	Auction	wcsp	93	boolean	yes	44047
evalgm/CFN/Auction/cat_paths_60_90_0003.wcsp	evalgm	Auction	wcsp	92	boolean	yes	28823
evalgm/CFN/Auction/cat_paths_60_90_0004.wcsp	evalgm	Auction	wcsp	91	boolean	yes	25037
evalgm/CFN/Auction/cat_paths_60_90_0005.wcsp	evalgm	Auction	wcsp	93	boolean	yes	28878
evalgm/CFN/Auction/cat_paths_60_90_0006.wcsp	evalgm	Auction	wcsp	90	boolean	yes	31653
evalgm/CFN/Auction/cat_paths_60_90_0007.wcsp	evalgm	Auction	wcsp	91	boolean	yes	29598
evalgm/CFN/Auction/cat_sched_60_100_0000.wcsp	evalgm	Auction	wcsp	149	boolean	yes	226733
evalgm/CFN/Auction/cat_sched_60_100_0001.wcsp	evalgm	Auction	wcsp	111	boolean	yes	143047
evalgm/CFN/Auction/cat_sched_60_100_0002.wcsp	evalgm	Auction	wcsp	111	boolean	yes	150104
evalgm/CFN/Auction/cat_sched_60_100_0003.wcsp	evalgm	Auction	wcsp	127	boolean	yes	147836
evalgm/CFN/Auction/cat_sched_60_100_0004.wcsp	evalgm	Auction	wcsp	107	boolean	yes	137120
evalgm/CFN/Auction/cat_sched_60_100_0005.wcsp	evalgm	Auction	wcsp	113	boolean	yes	118169
evalgm/CFN/Auction/cat_sched_60_110_0000.wcsp	evalgm	Auction	wcsp	159	boolean	yes	246127
evalgm/CFN/Auction/cat_sched_60_110_0001.wcsp	evalgm	Auction	wcsp	144	boolean	yes	221015
evalgm/CFN/Auction/cat_sched_60_110_0002.wcsp	evalgm	Auction	wcsp	131	boolean	yes	172695
evalgm/CFN/Auction/cat_sched_60_110_0003.wcsp	evalgm	Auction	wcsp	136	boolean	yes	176474
evalgm/CFN/Auction/cat_sched_60_110_0004.wcsp	evalgm	Auction	wcsp	129	boolean	yes	152228
evalgm/CFN/Auction/cat_sched_60_110_0005.wcsp	evalgm	Auction	wcsp	124	boolean	yes	159920
evalgm/CFN/Auction/cat_sched_60_120_0000.wcsp	evalgm	Auction	wcsp	166	boolean	yes	250036
evalgm/CFN/Auction/cat_sched_60_120_0001.wcsp	evalgm	Auction	wcsp	177	boolean	yes	263074
evalgm/CFN/Auction/cat_sched_60_120_0002.wcsp	evalgm	Auction	wcsp	152	boolean	yes	218945
evalgm/CFN/Auction/cat_sched_60_120_0003.wcsp	evalgm	Auction	wcsp	158	boolean	yes	236519
evalgm/CFN/Auction/cat_sched_60_120_0004.wcsp	evalgm	Auction	wcsp	163	boolean	yes	257561
evalgm/CFN/Auction/cat_sched_60_120_0005.wcsp	evalgm	Auction	wcsp	148	boolean	yes	204495
evalgm/CFN/Auction/cat_sched_60_130_0000.wcsp	evalgm	Auction	wcsp	163	boolean	yes	247279
evalgm/CFN/Auction/cat_sched_60_130_0001.wcsp	evalgm	Auction	wcsp	148	boolean	yes	187875
evalgm/CFN/Auction/cat_sched_60_130_0002.wcsp	evalgm	Auction	wcsp	168	boolean	yes	232128
evalgm/CFN/Auction/cat_sched_60_130_0003.wcsp	evalgm	Auction	wcsp	142	boolean	yes	204601
evalgm/CFN/Auction/cat_sched_60_130_0004.wcsp	evalgm	Auction	wcsp	165	boolean	yes	255302
evalgm/CFN/Auction/cat_sched_60_130_0005.wcsp	evalgm	Auction	wcsp	144	boolean	yes	199178
evalgm/CFN/Auction/cat_sched_60_140_0000.wcsp	evalgm	Auction	wcsp	166	boolean	yes	247953
evalgm/CFN/Auction/cat_sched_60_140_0001.wcsp	evalgm	Auction	wcsp	171	boolean	yes	301250
evalgm/CFN/Auction/cat_sched_60_140_0002.wcsp	evalgm	Auction	wcsp	196	boolean	yes	266107
evalgm/CFN/Auction/cat_sched_60_140_0003.wcsp	evalgm	Auction	wcsp	167	boolean	yes	250343
evalgm/CFN/Auction/cat_sched_60_140_0004.wcsp	evalgm	Auction	wcsp	198	boolean	yes	265444
evalgm/CFN/Auction/cat_sched_60_140_0005.wcsp	evalgm	Auction	wcsp	166	boolean	yes	242246
evalgm/CFN/Auction/cat_sched_60_150_0000.wcsp	evalgm	Auction	wcsp	159	boolean	yes	260609
evalgm/CFN/Auction/cat_sched_60_150_0001.wcsp	evalgm	Auction	wcsp	172	boolean	yes	257085
evalgm/CFN/Auction/cat_sched_60_150_0002.wcsp	evalgm	Auction	wcsp	153	boolean	yes	190681
evalgm/CFN/Auction/cat_sched_60_150_0003.wcsp	evalgm	Auction	wcsp	160	boolean	yes	197099
evalgm/CFN/Auction/cat_sched_60_150_0004.wcsp	evalgm	Auction	wcsp	158	boolean	yes	261844
evalgm/CFN/Auction/cat_sched_60_150_0005.wcsp	evalgm	Auction	wcsp	202	boolean	yes	348201
evalgm/CFN/Auction/cat_sched_60_160_0000.wcsp	evalgm	Auction	wcsp	160	boolean	yes	213232
evalgm/CFN/Auction/cat_sched_60_160_0001.wcsp	evalgm	Auction	wcsp	187	boolean	yes	268804
evalgm/CFN/Auction/cat_sched_60_160_0002.wcsp	evalgm	Auction	wcsp	183	boolean	yes	319922
evalgm/CFN/Auction/cat_sched_60_160_0003.wcsp	evalgm	Auction	wcsp	161	boolean	yes	247235
evalgm/CFN/Auction/cat_sched_60_160_0004.wcsp	evalgm	Auction	wcsp	171	boolean	yes	251608
evalgm/CFN/Auction/cat_sched_60_160_0005.wcsp	evalgm	Auction	wcsp	162	boolean	yes	230866
evalgm/CFN/Auction/cat_sched_60_170_0000.wcsp	evalgm	Auction	wcsp	179	boolean	yes	275216
evalgm/CFN/Auction/cat_sched_60_170_0001.wcsp	evalgm	Auction	wcsp	208	boolean	yes	291387
evalgm/CFN/Auction/cat_sched_60_170_0002.wcsp	evalgm	Auction	wcsp	181	boolean	yes	243137
evalgm/CFN/Auction/cat_sched_60_170_0003.wcsp	evalgm	Auction	wcsp	198	boolean	yes	330439
evalgm/CFN/Auction/cat_sched_60_170_0004.wcsp	evalgm	Auction	wcsp	172	boolean	yes	240966
evalgm/CFN/Auction/cat_sched_60_170_0005.wcsp	evalgm	Auction	wcsp	218	boolean	yes	412030
evalgm/CFN/Auction/cat_sched_60_180_0000.wcsp	evalgm	Auction	wcsp	196	boolean	yes	305450
evalgm/CFN/Auction/cat_sched_60_180_0001.wcsp	evalgm	Auction	wcsp	186	boolean	yes	321415
evalgm/CFN/Auction/cat_sched_60_180_0002.wcsp	evalgm	Auction	wcsp	219	boolean	yes	347170
evalgm/CFN/Auction/cat_sched_60_180_0003.wcsp	evalgm	Auction	wcsp	207	boolean	yes	338849
evalgm/CFN/Auction/cat_sched_60_180_0004.wcsp	evalgm	Auction	wcsp	218	boolean	yes	300483
evalgm/CFN/Auction/cat_sched_60_180_0005.wcsp	evalgm	Auction	wcsp	210	boolean	yes	343477
evalgm/CFN/Auction/cat_sched_60_190_0000.wcsp	evalgm	Auction	wcsp	215	boolean	yes	366249
evalgm/CFN/Auction/cat_sched_60_190_0001.wcsp	evalgm	Auction	wcsp	216	boolean	yes	308025
evalgm/CFN/Auction/cat_sched_60_190_0002.wcsp	evalgm	Auction	wcsp	240	boolean	yes	400306
evalgm/CFN/Auction/cat_sched_60_190_0003.wcsp	evalgm	Auction	wcsp	192	boolean	yes	263630
evalgm/CFN/Auction/cat_sched_60_190_0004.wcsp	evalgm	Auction	wcsp	227	boolean	yes	386320
evalgm/CFN/Auction/cat_sched_60_190_0005.wcsp	evalgm	Auction	wcsp	228	boolean	yes	328759
evalgm/CFN/Auction/cat_sched_60_200_0000.wcsp	evalgm	Auction	wcsp	246	boolean	yes	481568
evalgm/CFN/Auction/cat_sched_60_200_0001.wcsp	evalgm	Auction	wcsp	202	boolean	yes	269006
evalgm/CFN/Auction/cat_sched_60_200_0002.wcsp	evalgm	Auction	wcsp	217	boolean	yes	395412
evalgm/CFN/Auction/cat_sched_60_200_0003.wcsp	evalgm	Auction	wcsp	205	boolean	yes	387438
evalgm/CFN/Auction/cat_sched_60_200_0004.wcsp	evalgm	Auction	wcsp	234	boolean	yes	403982
evalgm/CFN/Auction/cat_sched_60_200_0005.wcsp	evalgm	Auction	wcsp	212	boolean	yes	350420
evalgm/CFN/Auction/cat_sched_60_70_0000.wcsp	evalgm	Auction	wcsp	99	boolean	yes	115766
evalgm/CFN/Auction/cat_sched_60_70_0001.wcsp	evalgm	Auction	wcsp	94	boolean	yes	108712
evalgm/CFN/Auction/cat_sched_60_70_0002.wcsp	evalgm	Auction	wcsp	119	boolean	yes	131251
evalgm/CFN/Auction/cat_sched_60_70_0003.wcsp	evalgm	Auction	wcsp	86	boolean	yes	91949
evalgm/CFN/Auction/cat_sched_60_70_0004.wcsp	evalgm	Auction	wcsp	102	boolean	yes	121083
evalgm/CFN/Auction/cat_sched_60_70_0005.wcsp	evalgm	Auction	wcsp	104	boolean	yes	138978
evalgm/CFN/Auction/cat_sched_60_80_0000.wcsp	evalgm	Auction	wcsp	113	boolean	yes	143789
evalgm/CFN/Auction/cat_sched_60_80_0001.wcsp	evalgm	Auction	wcsp	92	boolean	yes	89941
evalgm/CFN/Auction/cat_sched_60_80_0002.wcsp	evalgm	Auction	wcsp	125	boolean	yes	150976
evalgm/CFN/Auction/cat_sched_60_80_0003.wcsp	evalgm	Auction	wcsp	113	boolean	yes	125826
evalgm/CFN/Auction/cat_sched_60_80_0004.wcsp	evalgm	Auction	wcsp	114	boolean	yes	139681
evalgm/CFN/Auction/cat_sched_60_80_0005.wcsp	evalgm	Auction	wcsp	105	boolean	yes	122748
evalgm/CFN/Auction/cat_sched_60_90_0000.wcsp	evalgm	Auction	wcsp	93	boolean	yes	108978
evalgm/CFN/Auction/cat_sched_60_90_0001.wcsp	evalgm	Auction	wcsp	102	boolean	yes	132368
evalgm/CFN/Auction/cat_sched_60_90_0002.wcsp	evalgm	Auction	wcsp	102	boolean	yes	130440
evalgm/CFN/Auction/cat_sched_60_90_0003.wcsp	evalgm	Auction	wcsp	101	boolean	yes	113744
evalgm/CFN/Auction/cat_sched_60_90_0004.wcsp	evalgm	Auction	wcsp	101	boolean	yes	136769
evalgm/CFN/Auction/cat_sched_60_90_0005.wcsp	evalgm	Auction	wcsp	99	boolean	yes	110018
evalgm/CFN/CELAR/CELAR6-SUB0_r.wcsp	evalgm	CELAR	wcsp	16	multi	no	813245
evalgm/CFN/CELAR/CELAR6-SUB1_r.wcsp	evalgm	CELAR	wcsp	14	multi	no	1286585
evalgm/CFN/CELAR/CELAR6-SUB2_r.wcsp	evalgm	CELAR	wcsp	16	multi	no	1478111
evalgm/CFN/CELAR/CELAR6-SUB3_r.wcsp	evalgm	CELAR	wcsp	18	multi	no	1747936
evalgm/CFN/CELAR/CELAR6-SUB4_r.wcsp	evalgm	CELAR	wcsp	22	multi	no	2072197
evalgm/CFN/CELAR/CELAR7-SUB1_r.wcsp	evalgm	CELAR	wcsp	14	multi	no	1468140
evalgm/CFN/CELAR/CELAR7-SUB2_r.wcsp	evalgm	CELAR	wcsp	16	multi	no	1695150
evalgm/CFN/CELAR/CELAR7-SUB3_r.wcsp	evalgm	CELAR	wcsp	18	multi	no	2007769
evalgm/CFN/CELAR/CELAR7-SUB4_r.wcsp	evalgm	CELAR	wcsp	22	multi	no	2371802
evalgm/CFN/CELAR/graph05_r.wcsp	evalgm	CELAR	wcsp	100	multi	no	4859870
evalgm/CFN/CELAR/graph06_r.wcsp	evalgm	CELAR	wcsp	200	multi	no	10206864
evalgm/CFN/CELAR/graph11_r.wcsp	evalgm	CELAR	wcsp	340	multi	no	17322870
evalgm/CFN/CELAR/graph13_r.wcsp	evalgm	CELAR	wcsp	458	multi	no	24071060
evalgm/CFN/CELAR/scen06_r.wcsp	evalgm	CELAR	wcsp	100	multi	no	5085365
evalgm/CFN/CELAR/scen07_r.wcsp	evalgm	CELAR	wcsp	200	multi	no	13049064
evalgm/CFN/CELAR/scen08_r.wcsp	evalgm	CELAR	wcsp	458	multi	no	18998504
evalgm/CFN/Pedigree/berrichon1.wcsp	evalgm	Pedigree	wcsp	10017	multi	no	90117477
evalgm/CFN/Pedigree/langlade3.wcsp	evalgm	Pedigree	wcsp	1258	multi	no	37509523
evalgm/CFN/Pedigree/langladeM2.wcsp	evalgm	Pedigree	wcsp	1348	multi	no	11362124
evalgm/CFN/Pedigree/langladeM4.wcsp	evalgm	Pedigree	wcsp	1392	multi	no	11796851
evalgm/CFN/Pedigree/langladeM7.wcsp	evalgm	Pedigree	wcsp	1357	multi	no	2453369
evalgm/CFN/Pedigree/langladeM9.wcsp	evalgm	Pedigree	wcsp	1223	multi	no	37869493
evalgm/CFN/Pedigree/moissac1.wcsp	evalgm	Pedigree	wcsp	260	multi	no	53925
evalgm/CFN/Pedigree/moissac2.wcsp	evalgm	Pedigree	wcsp	244	multi	no	43488098
evalgm/CFN/Pedigree/moissac3.wcsp	evalgm	Pedigree	wcsp	225	multi	no	323839
evalgm/CFN/Pedigree/moissac4.wcsp	evalgm	Pedigree	wcsp	256	multi	no	52792
evalgm/CFN/ProteinDesign/1CM1.17p.19aa.usingEref_self_digit2.wcsp	evalgm	ProteinDesign	wcsp	17	multi	no	75367870
evalgm/CFN/ProteinDesign/1HZ5.12p.19aa.usingEref_self_digit2.wcsp	evalgm	ProteinDesign	wcsp	12	multi	no	35954468
evalgm/CFN/ProteinDesign/1HZ5.12p.9aa.usingEref_self_digit2.wcsp	evalgm	ProteinDesign	wcsp	12	multi	no	1929189
evalgm/CFN/ProteinDesign/1PGB.11p.19aa.usingEref_self_digit2.wcsp	evalgm	ProteinDesign	wcsp	11	multi	no	28704321
evalgm/CFN/ProteinDesign/1PGB.11p.9aa.usingEref_self_digit2.wcsp	evalgm	ProteinDesign	wcsp	11	multi	no	1557143
evalgm/CFN/ProteinDesign/1UBI.13p.19aa.usingEref_self_digit2.wcsp	evalgm	ProteinDesign	wcsp	13	multi	no	40485530
evalgm/CFN/ProteinDesign/1UBI.13p.9aa.usingEref_self_digit2.wcsp	evalgm	ProteinDesign	wcsp	13	multi	no	2226864
evalgm/CFN/ProteinDesign/2DHC.14p.19aa.usingEref_self_digit2.wcsp	evalgm	ProteinDesign	wcsp	14	multi	no	49993575
evalgm/CFN/ProteinDesign/2PCY.18p.8aa.usingEref_self_digit2.wcsp	evalgm	ProteinDesign	wcsp	18	multi	no	4314647
evalgm/CFN/ProteinDesign/2TRX.11p.8aa.usingEref_self_digit2.wcsp	evalgm	ProteinDesign	wcsp	11	multi	no	1504712
evalgm/CFN/SPOT5/1401.wcsp	evalgm	SPOT5	wcsp	488	multi	no	333987
evalgm/CFN/SPOT5/1403.wcsp	evalgm	SPOT5	wcsp	665	multi	no	421964
evalgm/CFN/SPOT5/1405.wcsp	evalgm	SPOT5	wcsp	855	multi	no	604433
evalgm/CFN/SPOT5/1407.wcsp	evalgm	SPOT5	wcsp	1057	multi	no	739152
evalgm/CFN/SPOT5/1502.wcsp	evalgm	SPOT5	wcsp	209	multi	no	9568
evalgm/CFN/SPOT5/1504.wcsp	evalgm	SPOT5	wcsp	605	multi	no	130277
evalgm/CFN/SPOT5/1506.wcsp	evalgm	SPOT5	wcsp	940	multi	no	505106
evalgm/CFN/SPOT5/28.wcsp	evalgm	SPOT5	wcsp	230	multi	no	148504
evalgm/CFN/SPOT5/29.wcsp	evalgm	SPOT5	wcsp	82	multi	no	11882
evalgm/CFN/SPOT5/404.wcsp	evalgm	SPOT5	wcsp	100	multi	no	16353
evalgm/CFN/SPOT5/408.wcsp	evalgm	SPOT5	wcsp	200	multi	no	58625
evalgm/CFN/SPOT5/412.wcsp	evalgm	SPOT5	wcsp	300	multi	no	131766
evalgm/CFN/SPOT5/414.wcsp	evalgm	SPOT5	wcsp	364	multi	no	310561
evalgm/CFN/SPOT5/42.wcsp	evalgm	SPOT5	wcsp	190	multi	no	38982
evalgm/CFN/SPOT5/503.wcsp	evalgm	SPOT5	wcsp	143	multi	no	16859
evalgm/CFN/SPOT5/505.wcsp	evalgm	SPOT5	wcsp	240	multi	no	65523
evalgm/CFN/SPOT5/507.wcsp	evalgm	SPOT5	wcsp	311	multi	no	171350
evalgm/CFN/SPOT5/509.wcsp	evalgm	SPOT5	wcsp	348	multi	no	262185
evalgm/CFN/SPOT5/54.wcsp	evalgm	SPOT5	wcsp	67	multi	no	6850
evalgm/CFN/SPOT5/5.wcsp	evalgm	SPOT5	wcsp	309	multi	no	193440
evalgm/CFN/Warehouse/cap101.wcsp	evalgm	Warehouse	wcsp	75	multi	no	44362
evalgm/CFN/Warehouse/cap102.wcsp	evalgm	Warehouse	wcsp	75	multi	no	44386
evalgm/CFN/Warehouse/cap103.wcsp	evalgm	Warehouse	wcsp	75	multi	no	44386
evalgm/CFN/Warehouse/cap104.wcsp	evalgm	Warehouse	wcsp	75	multi	no	44386
evalgm/CFN/Warehouse/cap111.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89621
evalgm/CFN/Warehouse/cap112.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89670
evalgm/CFN/Warehouse/cap113.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89670
evalgm/CFN/Warehouse/cap114.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89670
evalgm/CFN/Warehouse/cap121.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89621
evalgm/CFN/Warehouse/cap122.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89670
evalgm/CFN/Warehouse/cap123.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89670
evalgm/CFN/Warehouse/cap124.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89670
evalgm/CFN/Warehouse/cap131.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89621
evalgm/CFN/Warehouse/cap132.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89670
evalgm/CFN/Warehouse/cap133.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89670
evalgm/CFN/Warehouse/cap134.wcsp	evalgm	Warehouse	wcsp	100	multi	no	89670
evalgm/CFN/Warehouse/cap41.wcsp	evalgm	Warehouse	wcsp	66	multi	no	28063
evalgm/CFN/Warehouse/cap42.wcsp	evalgm	Warehouse	wcsp	66	multi	no	28078
evalgm/CFN/Warehouse/cap43.wcsp	evalgm	Warehouse	wcsp	66	multi	no	28078
evalgm/CFN/Warehouse/cap44.wcsp	evalgm	Warehouse	wcsp	66	multi	no	28078
evalgm/CFN/Warehouse/cap51.wcsp	evalgm	Warehouse	wcsp	66	multi	no	28078
evalgm/CFN/Warehouse/cap61.wcsp	evalgm	Warehouse	wcsp	66	multi	no	28063
